,Termo,Frequência Absoluta,Frequência Relativa (%)
28,cloroquina,85,3.8
3,hidroxicloroquina,60,2.68
549,😂,47,2.1
0,trump,46,2.06
9,tomar,46,2.06
76,remédio,41,1.83
470,covid-19,37,1.66
625,estudo,37,1.66
182,ser,35,1.57
2,tomando,32,1.43
86,toma,32,1.43
1,diz,30,1.34
207,uso,28,1.25
14,tomaria,27,1.21
148,medicamento,27,1.21
266,médico,27,1.21
49,efeitos,23,1.03
37,médicos,23,1.03
286,covid,23,1.03
90,pessoa,23,1.03
35,brasil,22,0.98
621,of,22,0.98
36,todos,21,0.94
73,faz,21,0.94
21,gente,21,0.94
78,porque,20,0.89
314,agora,19,0.85
15,tratamento,19,0.85
860,zinco,19,0.85
50,colaterais,19,0.85
374,pessoas,18,0.81
55,eficaz,16,0.72
8,preventivamente,16,0.72
119,presidente,16,0.72
126,fazer,16,0.72
24,bolsonaro,16,0.72
310,quiser,16,0.72
292,prevenção,16,0.72
404,contra,16,0.72
457,mortes,15,0.67
381,nada,15,0.67
91,texto,15,0.67
638,patients,15,0.67
298,povo,15,0.67
235,morrer,15,0.67
598,mundo,14,0.63
158,malária,14,0.63
113,sabe,13,0.58
852,combinação,13,0.58
87,nunca,13,0.58
920,bozo,13,0.58
45,usa,13,0.58
38,muitos,13,0.58
635,hydroxychloroquine,13,0.58
63,ciência,12,0.54
861,indica,12,0.54
200,tempo,12,0.54
11,coronavírus,12,0.54
34,aqui,12,0.54
636,in,12,0.54
262,🤣,12,0.54
282,empresa,11,0.49
70,ver,11,0.49
1060,teste,11,0.49
1348,resultado,11,0.49
468,desinfetante,11,0.49
109,vida,11,0.49
416,saúde,11,0.49
2172,lancet,11,0.49
866,revista,11,0.49
354,bem,11,0.49
602,vírus,10,0.45
140,acho,10,0.45
1086,usar,10,0.45
1247,casos,10,0.45
269,médica,10,0.45
238,receita,10,0.45
1504,coronavirus,10,0.45
230,causa,10,0.45
196,doença,10,0.45
174,anos,10,0.45
47,lúpus,10,0.45
124,realmente,9,0.4
577,louco,9,0.4
191,paciente,9,0.4
845,caso,9,0.4
59,sei,9,0.4
1391,estadão,9,0.4
359,sempre,9,0.4
127,eua,9,0.4
118,disso,9,0.4
477,passa,9,0.4
484,bula,9,0.4
546,vacina,9,0.4
462,dose,9,0.4
1029,melhor,9,0.4
639,with,9,0.4
88,efeito,9,0.4
460,medicação,8,0.36
1024,verdade,8,0.36
705,kkk,8,0.36
33,mal,8,0.36
707,sócio,8,0.36
977,chloroquine,8,0.36
1101,cardíaco,8,0.36
512,duvido,8,0.36
526,doente,8,0.36
43,bom,8,0.36
276,americano,7,0.31
20,certeza,7,0.31
351,sintomas,7,0.31
714,times,7,0.31
719,fala,7,0.31
146,protocolo,7,0.31
1389,ineficaz,7,0.31
1344,itália,7,0.31
591,estar,7,0.31
441,cura,7,0.31
74,outras,7,0.31
184,pacientes,7,0.31
514,donald,7,0.31
494,coração,7,0.31
630,autores,7,0.31
974,anti,7,0.31
431,sabem,7,0.31
807,precisa,7,0.31
12,eficácia,7,0.31
187,receitando,6,0.27
195,necessidade,6,0.27
724,dias,6,0.27
2222,retirado,6,0.27
226,mim,6,0.27
1357,positivo,6,0.27
1668,distúrbios,6,0.27
265,chá,6,0.27
755,difosfato,6,0.27
256,participação,6,0.27
756,reações,6,0.27
757,adversas,6,0.27
231,nenhum,6,0.27
766,somente,6,0.27
722,mentira,6,0.27
368,ficar,6,0.27
290,falar,6,0.27
1083,dia,6,0.27
550,acredito,6,0.27
2223,ar,6,0.27
862,matéria,6,0.27
471,prefiro,6,0.27
650,precisar,6,0.27
652,idiota,6,0.27
945,risco,6,0.27
1078,igual,6,0.27
415,área,6,0.27
676,artrite,6,0.27
307,pergunta,6,0.27
401,população,6,0.27
393,dinheiro,6,0.27
382,remédios,6,0.27
2039,milhão,6,0.27
1025,🤦🏻‍♀️,6,0.27
378,menos,6,0.27
1234,fabrica,6,0.27
552,tanto,6,0.27
343,deus,6,0.27
637,hospitalized,6,0.27
1117,claro,6,0.27
72,problema,6,0.27
83,nenhuma,6,0.27
52,estudos,6,0.27
48,vários,6,0.27
60,falando,6,0.27
618,new,5,0.22
340,amigo,5,0.22
421,positivos,5,0.22
898,vitamina,5,0.22
1136,use,5,0.22
402,porém,5,0.22
399,atrás,5,0.22
1388,maior,5,0.22
373,receitar,5,0.22
365,😉,5,0.22
961,aaps,5,0.22
958,american,5,0.22
446,quais,5,0.22
313,certo,5,0.22
137,medicos,5,0.22
303,opinião,5,0.22
988,improved,5,0.22
288,esperar,5,0.22
1001,they,5,0.22
2185,fake,5,0.22
1102,parar,5,0.22
435,hospital,5,0.22
459,fazendo,5,0.22
877,vamos,5,0.22
96,país,5,0.22
651,pouco,5,0.22
71,medicamentos,5,0.22
709,fábrica,5,0.22
633,observational,5,0.22
1984,🤪,5,0.22
605,entenda,5,0.22
759,uti,5,0.22
763,respeito,5,0.22
769,causar,5,0.22
1665,🙄,5,0.22
875,tramp,5,0.22
818,feito,5,0.22
840,assunto,5,0.22
846,diferente,5,0.22
487,alguma,5,0.22
483,ler,5,0.22
476,dipirona,5,0.22
466,mandou,5,0.22
867,vender,5,0.22
41,muitas,5,0.22
1023,salmão,5,0.22
418,usando,5,0.22
1062,resultados,5,0.22
185,medicina,5,0.22
180,novo,5,0.22
31,fez,5,0.22
819,exames,4,0.18
953,percent,4,0.18
523,tema,4,0.18
520,político,4,0.18
513,imbecil,4,0.18
350,início,4,0.18
1400,comparação,4,0.18
957,association,4,0.18
132,cu,4,0.18
827,taquicardia,4,0.18
1559,riscos,4,0.18
841,propaganda,4,0.18
491,azitromicina,4,0.18
954,chance,4,0.18
333,foto,4,0.18
334,disponível,4,0.18
332,descrição,4,0.18
