,Termo,Frequência Absoluta,Frequência Relativa (%)
39,cloroquina,54,2.63
91,alho,52,2.53
23,pessoas,46,2.24
535,remédio,29,1.41
14,vírus,28,1.36
181,ser,24,1.17
58,médicos,24,1.17
92,cebola,23,1.12
10,todos,23,1.12
368,agora,22,1.07
116,dias,19,0.93
78,uso,19,0.93
129,texto,19,0.93
83,🤣,18,0.88
62,estudos,18,0.88
743,nada,17,0.83
2,dexametasona,17,0.83
130,diz,16,0.78
183,sempre,16,0.78
189,funciona,16,0.78
323,bem,15,0.73
111,gente,14,0.68
671,vários,14,0.68
714,corticoide,14,0.68
48,tratamento,14,0.68
33,sintomas,14,0.68
175,estudo,14,0.68
237,fazer,14,0.68
93,cru,13,0.63
358,nunca,13,0.63
191,amiga,13,0.63
201,suco,13,0.63
50,contra,13,0.63
632,mundo,13,0.63
243,medicamento,13,0.63
752,curar,12,0.58
389,tomar,12,0.58
81,faz,12,0.58
627,fala,12,0.58
349,cura,12,0.58
47,hidroxicloroquina,12,0.58
65,efeitos,12,0.58
133,médico,12,0.58
458,covid,12,0.58
462,casa,12,0.58
724,corticóide,11,0.54
176,anos,11,0.54
951,resultado,11,0.54
579,verdade,11,0.54
44,covid-19,11,0.54
808,china,11,0.54
230,sabe,10,0.49
67,saúde,10,0.49
266,doença,10,0.49
217,aqui,10,0.49
702,curam,10,0.49
143,comer,10,0.49
231,porque,10,0.49
500,dia,9,0.44
417,usando,9,0.44
178,doses,9,0.44
412,bom,9,0.44
303,noite,9,0.44
1592,nova,9,0.44
185,chá,9,0.44
807,mesma,9,0.44
121,ver,9,0.44
291,povo,9,0.44
263,deus,9,0.44
11,medicamentos,9,0.44
16,brasil,9,0.44
597,ficar,9,0.44
593,melhor,9,0.44
187,mel,8,0.39
95,disso,8,0.39
322,sei,8,0.39
1639,positivo,8,0.39
557,usa,8,0.39
214,gripe,8,0.39
1299,acreditar,8,0.39
1632,americano,8,0.39
1631,cdc,8,0.39
203,dente,8,0.39
1621,dizem,8,0.39
1618,ventiladores,8,0.39
1310,veja,8,0.39
43,pacientes,8,0.39
112,coronavirus,8,0.39
784,morrendo,8,0.39
69,filho,7,0.34
684,horas,7,0.34
647,ninguém,7,0.34
772,corpo,7,0.34
965,falta,7,0.34
402,início,7,0.34
211,sistema,7,0.34
580,deixar,7,0.34
103,acha,7,0.34
193,alta,7,0.34
302,certo,7,0.34
219,dose,7,0.34
272,certeza,7,0.34
635,antibiótico,7,0.34
5,hospital,7,0.34
307,usar,7,0.34
966,ar,7,0.34
601,ótimo,7,0.34
278,come,7,0.34
432,vdd,7,0.34
24,problemas,6,0.29
184,tomo,6,0.29
1208,🤔,6,0.29
648,toma,6,0.29
856,bolsonaro,6,0.29
1969,abacaxi,6,0.29
1353,🙄,6,0.29
347,posso,6,0.29
137,pessoa,6,0.29
520,água,6,0.29
515,ajuda,6,0.29
1620,sozinhas,6,0.29
186,limão,6,0.29
366,doente,6,0.29
1795,taxa,6,0.29
51,coronavírus,6,0.29
711,existem,6,0.29
882,vi,6,0.29
84,xarope,6,0.29
1642,resulta,6,0.29
37,pesquisa,6,0.29
118,menos,6,0.29
923,estranho,6,0.29
285,oms,6,0.29
32,começo,6,0.29
1714,pesquisadores,6,0.29
685,acredita,6,0.29
1615,17,6,0.29
357,alguns,6,0.29
371,falar,5,0.24
370,boa,5,0.24
883,reportagem,5,0.24
871,kalil,5,0.24
256,vidas,5,0.24
311,sério,5,0.24
236,farmacêutica,5,0.24
912,corticoides,5,0.24
233,lucro,5,0.24
985,vamos,5,0.24
209,realmente,5,0.24
337,mal,5,0.24
922,acho,5,0.24
221,nisso,5,0.24
197,alicina,5,0.24
228,imunidade,5,0.24
310,kkkk,5,0.24
274,obrigada,5,0.24
870,dr,5,0.24
615,nenhum,5,0.24
1165,milhões,5,0.24
1659,hubei,5,0.24
1636,fez,5,0.24
1638,notar,5,0.24
813,morrer,5,0.24
2021,primeiras,5,0.24
774,pinga,5,0.24
76,usei,5,0.24
1355,mito,5,0.24
748,fica,5,0.24
1622,hospitais,5,0.24
738,herpes,5,0.24
57,mil,5,0.24
49,eficaz,5,0.24
693,vendo,5,0.24
1713,cientistas,5,0.24
1719,mentira,5,0.24
628,fiquei,5,0.24
842,tendo,5,0.24
804,casos,5,0.24
1613,sobram,5,0.24
1606,dão,5,0.24
411,ajudar,5,0.24
1614,cerca,5,0.24
1169,febre,5,0.24
741,ok,4,0.19
1611,ficam,4,0.19
529,mãe,4,0.19
1005,problema,4,0.19
534,tratar,4,0.19
715,colaterais,4,0.19
281,relatos,4,0.19
745,nome,4,0.19
1004,afirmam,4,0.19
1612,sozinha,4,0.19
760,mundial,4,0.19
397,combate,4,0.19
420,indústria,4,0.19
275,😘,4,0.19
858,vista,4,0.19
704,uip,4,0.19
1702,confiar,4,0.19
378,artrose,4,0.19
1017,semana,4,0.19
380,pior,4,0.19
661,infecções,4,0.19
630,gripes,4,0.19
381,causa,4,0.19
626,tomando,4,0.19
1755,absurdos,4,0.19
255,outras,4,0.19
1501,fato,4,0.19
707,estoque,4,0.19
893,mutação,4,0.19
1619,sozinhos,4,0.19
773,corona,4,0.19
345,pneumonia,4,0.19
430,serve,4,0.19
921,entendi,4,0.19
436,tambem,4,0.19
1629,mortes,4,0.19
447,pouco,4,0.19
1633,deixou,4,0.19
1634,recomendar,4,0.19
1635,africano,4,0.19
1617,internados,4,0.19
1637,york,4,0.19
1616,precisam,4,0.19
1640,frança,4,0.19
928,ataca,4,0.19
1569,contaminados,4,0.19
1641,suécia,4,0.19
470,inclusive,4,0.19
318,der,4,0.19
393,dor,4,0.19
802,além,4,0.19
313,receita,4,0.19
483,crua,4,0.19
312,pandemia,4,0.19
797,precisa,4,0.19
1829,visto,4,0.19
779,países,4,0.19
894,iam,4,0.19
246,alguma,4,0.19
308,obrigado,4,0.19
127,alergia,4,0.19
30,muitos,4,0.19
1183,rinite,4,0.19
172,escreveu,4,0.19
227,falam,4,0.19
1081,uns,4,0.19
102,😁,4,0.19
52,atualmente,4,0.19
53,disponível,4,0.19
177,várias,4,0.19
56,feita,4,0.19
59,65,4,0.19
63,científicos,4,0.19
1268,política,4,0.19
1351,torcida,4,0.19
120,manhã,4,0.19
1266,quero,4,0.19
1443,stort,4,0.19
119,dentes,4,0.19
202,coloca,4,0.19
1242,havia,4,0.19
200,faça,4,0.19
1974,imunitário,4,0.19
1412,google.com/amp/s/wn,4,0.19
198,antibiotico,4,0.19
29,medicação,4,0.19
1414,tribuna,4,0.19
3,farmácia,4,0.19
4,falando,4,0.19
154,devido,4,0.19
148,colesterol,4,0.19
850,pé,3,0.15
1218,kkk,3,0.15
1628,quantidade,3,0.15
1891,officer,3,0.15
2010,sarar,3,0.15
391,tomara,3,0.15
1630,diárias,3,0.15
1892,reveal,3,0.15
157,saber,3,0.15
1893,truth,3,0.15
2011,minutos,3,0.15
1220,curou,3,0.15
149,exemplo,3,0.15
456,confirmado,3,0.15
459,tanto,3,0.15
1235,irão,3,0.15
1160,fazendo,3,0.15
1236,trataram,3,0.15
1401,news,3,0.15
1237,chamado,3,0.15
814,cientista,3,0.15
1894,about,3,0.15
1890,intelligence,3,0.15
1627,defensores,3,0.15
1626,trump,3,0.15
866,deveria,3,0.15
1400,great,3,0.15
1194,monte,3,0.15
1399,more,3,0.15
846,nariz,3,0.15
128,tempero,3,0.15
427,informações,3,0.15
428,importante,3,0.15
403,infecção,3,0.15
865,técnicas,3,0.15
841,lupus,3,0.15
1625,quantas,3,0.15
1888,did,3,0.15
1866,cheio,3,0.15
398,doenças,3,0.15
1623,tentaram,3,0.15
435,pequena,3,0.15
1889,chinese,3,0.15
124,benefícios,3,0.15
1624,cedo,3,0.15
1175,tomei,3,0.15
1061,coisas,3,0.15
1243,eficácia,3,0.15
101,anvisa,3,0.15
1238,atenção,3,0.15
1339,periferica,3,0.15
1338,perdita,3,0.15
1793,ordem,3,0.15
1337,collaterali,3,0.15
558,hj,3,0.15
1336,effetti,3,0.15
1715,dados,3,0.15
686,remédios,3,0.15
1335,gravi,3,0.15
568,coração,3,0.15
676,garganta,3,0.15
1783,assusta,3,0.15
1334,clorochina,3,0.15
656,conheço,3,0.15
1737,novamente,3,0.15
651,noção,3,0.15
592,senti,3,0.15
646,quase,3,0.15
1740,duvido,3,0.15
637,compostos,3,0.15
15,farmácias,3,0.15
12,combater,3,0.15
604,justamente,3,0.15
606,altas,3,0.15
7,remedio,3,0.15
610,efeito,3,0.15
620,agua,3,0.15
1796,mortalidade,3,0.15
1798,absurdo,3,0.15
548,cara,3,0.15
1822,fizeram,3,0.15
472,bronquite,3,0.15
1239,globo,3,0.15
1241,estar,3,0.15
383,li,3,0.15
798,malária,3,0.15
1246,lugar,3,0.15
487,maneira,3,0.15
490,mim,3,0.15
1362,piloto,3,0.15
85,tosse,3,0.15
499,pequenas,3,0.15
1661,current,3,0.15
1662,situation,3,0.15
41,melhora,3,0.15
512,salada,3,0.15
68,estadão,3,0.15
66,finalizados,3,0.15
64,investigam,3,0.15
737,aciclovir,3,0.15
526,infância,3,0.15
731,mata,3,0.15
533,tirar,3,0.15
55,internacional,3,0.15
54,segundo,3,0.15
716,sai,3,0.15
1348,conta,3,0.15
1895,outbreak,3,0.15
1314,notícia,3,0.15
963,comprovado,3,0.15
948,momento,3,0.15
258,através,3,0.15
1040,testar,3,0.15
915,disseram,3,0.15
916,corticóides,3,0.15
340,caso,3,0.15
235,industria,3,0.15
1129,meio,3,0.15
329,anti,3,0.15
1014,amigo,3,0.15
1079,massa,3,0.15
277,pai,3,0.15
324,falo,3,0.15
946,resultados,3,0.15
1083,ricos,3,0.15
199,ideal,3,0.15
1137,afinal,3,0.15
952,graves,3,0.15
1450,algumas,3,0.15
205,laranja,3,0.15
1538,pesquisador,3,0.15
993,tentando,3,0.15
955,vídeo,3,0.15
287,tipo,3,0.15
207,existe,3,0.15
1428,tal,3,0.15
981,acordo,3,0.15
208,cápsulas,3,0.15
1460,células,3,0.15
971,dois,3,0.15
295,contrário,3,0.15
354,nenhuma,3,0.15
930,pulmões,3,0.15
1140,homens,3,0.15
360,população,3,0.15
887,vê,3,0.15
251,positivos,3,0.15
165,médica,3,0.15
881,fake,3,0.15
166,junto,3,0.15
878,urgente,3,0.15
247,planta,3,0.15
1433,câncer,3,0.15
365,ficou,3,0.15
238,acredito,3,0.15
1151,próprio,3,0.15
1002,ibuprofeno,2,0.1
712,melhores,2,0.1
720,graças,2,0.1
1476,farmacológica,2,0.1
624,passei,2,0.1
1057,nesse,2,0.1
1709,dna,2,0.1
999,perigoso,2,0.1
1065,barata,2,0.1
1347,chamou,2,0.1
1050,abaixa,2,0.1
1343,conhece,2,0.1
990,controlada,2,0.1
1087,vende,2,0.1
1278,dinheiro,2,0.1
1300,motivo,2,0.1
1475,interpretação,2,0.1
1688,consegue,2,0.1
1349,contrato,2,0.1
1677,crianças,2,0.1
977,pediatra,2,0.1
744,veio,2,0.1
618,favor,2,0.1
978,receitou,2,0.1
1270,jeito,2,0.1
1680,bonitos,2,0.1
619,deixo,2,0.1
979,aerolin,2,0.1
988,prednisona,2,0.1
736,tempo,2,0.1
1058,país,2,0.1
734,testado,2,0.1
1099,🤡,2,0.1
982,idade,2,0.1
727,meia,2,0.1
1064,porcaria,2,0.1
726,seis,2,0.1
1320,amazonas,2,0.1
1281,inteiro,2,0.1
1304,nise,2,0.1
1330,evitar,2,0.1
1518,garlic,2,0.1
670,durante,2,0.1
1726,seguem,2,0.1
1727,instruções,2,0.1
1301,repúdio,2,0.1
1742,enganar,2,0.1
1728,dadas,2,0.1
1729,implantes,2,0.1
1028,cunhado,2,0.1
1730,especiais,2,0.1
1043,entendo,2,0.1
1329,procurar,2,0.1
659,medicinais,2,0.1
658,plantas,2,0.1
1030,lúpus,2,0.1
652,chás,2,0.1
1072,pronto,2,0.1
650,contar,2,0.1
1327,significa,2,0.1
1325,forma,2,0.1
1044,primeira,2,0.1
1288,vezes,2,0.1
1725,treinados,2,0.1
1724,atores,2,0.1
1711,pânico,2,0.1
1082,meses,2,0.1
1080,dexa,2,0.1
1009,poderia,2,0.1
1047,novo,2,0.1
1013,informação,2,0.1
1015,professor,2,0.1
1302,político,2,0.1
1078,venda,2,0.1
1018,passada,2,0.1
1073,alergias,2,0.1
1716,confirmam,2,0.1
1718,divulgado,2,0.1
680,sal,2,0.1
1350,programa,2,0.1
1022,suportou,2,0.1
1749,nesta,2,0.1
1023,trata,2,0.1
1046,penso,2,0.1
976,rouco,2,0.1
872,diretor,2,0.1
749,tranquila,2,0.1
1207,😳,2,0.1
847,tava,2,0.1
905,logo,2,0.1
1200,manchas,2,0.1
907,sintoma,2,0.1
843,acesso,2,0.1
908,parar,2,0.1
1582,longe,2,0.1
1135,decadron,2,0.1
1390,tsc,2,0.1
911,tipos,2,0.1
1133,morre,2,0.1
973,laringite,2,0.1
1132,diabético,2,0.1
839,artrite,2,0.1
917,descartados,2,0.1
918,aceleravam,2,0.1
836,espero,2,0.1
834,iria,2,0.1
833,pensei,2,0.1
1578,funcionários,2,0.1
1131,respiratório,2,0.1
1441,tido,2,0.1
1396,chinês,2,0.1
1585,base,2,0.1
901,mídia,2,0.1
1589,fique,2,0.1
1425,bioatividade,2,0.1
1150,confuso,2,0.1
1149,virus,2,0.1
1432,nacional,2,0.1
1419,redução,2,0.1
1594,dito,2,0.1
890,cobaias,2,0.1
1168,gripais,2,0.1
891,dizendo,2,0.1
1146,falado,2,0.1
1417,ingestão,2,0.1
1145,sido,2,0.1
1144,kkkkk,2,0.1
896,tentar,2,0.1
897,virar,2,0.1
1178,causadas,2,0.1
1179,levar,2,0.1
1180,sete,2,0.1
1181,dez,2,0.1
1185,doutora,2,0.1
852,ac,2,0.1
1127,faltar,2,0.1
1211,imagina,2,0.1
931,primeiro,2,0.1
1111,época,2,0.1
795,diferentes,2,0.1
1653,ler,2,0.1
786,pesquisar,2,0.1
1757,nele,2,0.1
785,achismo,2,0.1
1368,🙏,2,0.1
783,unidos,2,0.1
782,estados,2,0.1
1654,público,2,0.1
957,salvou,2,0.1
777,causada,2,0.1
1361,torço,2,0.1
1360,presidente,2,0.1
1256,políticos,2,0.1
1258,laboratório,2,0.1
1660,ruínas,2,0.1
1458,sulfurados,2,0.1
1100,david,2,0.1
758,portadora,2,0.1
755,organismo,2,0.1
972,episódios,2,0.1
796,funcionar,2,0.1
1244,desde,2,0.1
932,sangue,2,0.1
800,imune,2,0.1
824,senhora,2,0.1
1572,medicações,2,0.1
1221,completamente,2,0.1
1222,azitromicina,2,0.1
1225,estômago,2,0.1
1445,agente,2,0.1
1374,blabla,2,0.1
937,grave,2,0.1
942,pulmão,2,0.1
818,mestrado,2,0.1
817,infectologista,2,0.1
816,claramente,2,0.1
944,ambos,2,0.1
1562,entubado,2,0.1
811,correto,2,0.1
949,matéria,2,0.1
809,usado,2,0.1
1240,contrata,2,0.1
806,contínuo,2,0.1
954,sabem,2,0.1
801,menor,2,0.1
1493,altamente,2,0.1
657,gama,2,0.1
234,vantagem,2,0.1
107,medicina,2,0.1
315,comprove,2,0.1
375,morte,2,0.1
1990,brasileiro,2,0.1
1806,saiba,2,0.1
320,chamar,2,0.1
374,preferem,2,0.1
1900,inteligente,2,0.1
469,inhame,2,0.1
327,ten,2,0.1
471,filha,2,0.1
1972,simples,2,0.1
1811,mentiras,2,0.1
372,aceitar,2,0.1
1993,quis,2,0.1
1812,absurdas,2,0.1
476,bombinhas,2,0.1
1805,deste,2,0.1
98,funcione,2,0.1
