,Termo,Frequência Absoluta,Frequência Relativa (%)
50,cloroquina,54,3.11
302,😂,39,2.24
69,diz,37,2.13
144,ser,36,2.07
68,texto,30,1.73
195,pessoas,27,1.55
19,testes,26,1.5
28,bolsonaro,25,1.44
289,presidente,25,1.44
15,hidroxicloroquina,20,1.15
107,mortes,19,1.09
25,oms,19,1.09
310,gente,19,1.09
83,estudo,18,1.04
318,🤣,18,1.04
31,covid-19,17,0.98
27,razão,16,0.92
140,gado,15,0.86
90,mundo,15,0.86
38,uso,14,0.81
220,faz,13,0.75
84,governo,12,0.69
226,nada,12,0.69
192,remédio,12,0.69
0,medicamento,12,0.69
254,fazer,11,0.63
65,sabe,11,0.63
427,povo,11,0.63
218,toma,11,0.63
93,brasil,11,0.63
189,bem,11,0.63
121,usar,10,0.58
3,estudos,10,0.58
227,contra,10,0.58
282,kkkk,10,0.58
403,deus,10,0.58
417,vírus,9,0.52
405,vamos,9,0.52
103,ver,9,0.52
43,fake,9,0.52
10,reino,9,0.52
228,tomar,9,0.52
11,unido,9,0.52
274,nenhuma,9,0.52
21,cara,9,0.52
56,favor,9,0.52
264,cientistas,9,0.52
61,agora,9,0.52
399,pt,8,0.46
160,médico,8,0.46
169,pessoa,8,0.46
687,fala,8,0.46
89,coronavírus,8,0.46
601,menos,8,0.46
930,alguns,8,0.46
571,certo,8,0.46
240,porque,8,0.46
30,retomar,8,0.46
14,tempo,8,0.46
339,errado,7,0.4
393,cura,7,0.4
217,bom,7,0.4
1388,trabalho,7,0.4
1155,falar,7,0.4
29,anuncia,7,0.4
126,pesquisas,7,0.4
8,vidas,7,0.4
292,burro,7,0.4
291,reproduzir,7,0.4
237,verdade,7,0.4
181,existe,7,0.4
208,dr,7,0.4
171,anos,7,0.4
245,funciona,7,0.4
152,mito,7,0.4
58,vergonha,7,0.4
1061,distúrbios,6,0.35
112,curtir,6,0.35
309,piada,6,0.35
304,senhora,6,0.35
412,covid,6,0.35
16,mostra,6,0.35
577,problema,6,0.35
1152,milhões,6,0.35
258,lancet,6,0.35
119,doença,6,0.35
34,eficácia,6,0.35
716,todos,6,0.35
230,morrer,6,0.35
456,ajudar,6,0.35
135,falando,6,0.35
66,ler,6,0.35
271,matar,6,0.35
731,dados,5,0.29
825,efeitos,5,0.29
362,leu,5,0.29
1248,🐂,5,0.29
166,mal,5,0.29
159,positivo,5,0.29
342,zap,5,0.29
344,fonte,5,0.29
35,existem,5,0.29
366,coronavirus,5,0.29
1318,foto,5,0.29
1300,querido,5,0.29
1176,👏,5,0.29
795,remedio,5,0.29
381,retratação,5,0.29
39,ciência,5,0.29
81,amigo,5,0.29
445,além,5,0.29
495,usada,5,0.29
64,acho,5,0.29
71,trump,5,0.29
74,mil,5,0.29
466,número,5,0.29
522,lixo,5,0.29
889,alguém,5,0.29
51,tratamento,5,0.29
231,quiser,5,0.29
229,mim,5,0.29
48,kkkkkk,5,0.29
594,científica,5,0.29
551,nunca,5,0.29
578,dosagem,5,0.29
106,usado,5,0.29
263,médicos,4,0.23
1263,óbitos,4,0.23
969,morte,4,0.23
730,discutir,4,0.23
725,fica,4,0.23
176,merda,4,0.23
1000,realmente,4,0.23
22,gênio,4,0.23
279,corona,4,0.23
303,ódio,4,0.23
358,vdd,4,0.23
988,fez,4,0.23
1045,paciente,4,0.23
767,grande,4,0.23
351,visionário,4,0.23
330,desculpas,4,0.23
773,vi,4,0.23
348,certeza,4,0.23
820,hospitais,4,0.23
1,eficaz,4,0.23
298,louco,4,0.23
1123,🙄,4,0.23
880,indica,4,0.23
326,precisam,4,0.23
36,vários,4,0.23
335,pesquisa,4,0.23
877,pandemia,4,0.23
1108,bode,4,0.23
1107,mamão,4,0.23
328,exatamente,4,0.23
1116,mandou,4,0.23
57,passar,4,0.23
1266,paulo,4,0.23
575,entendeu,4,0.23
406,estudar,4,0.23
123,voltou,4,0.23
1317,descrição,4,0.23
1319,disponível,4,0.23
1341,😴,4,0.23
115,causa,4,0.23
415,saúde,4,0.23
1360,🤷,4,0.23
424,sei,4,0.23
586,maior,4,0.23
585,precisa,4,0.23
428,fazendo,4,0.23
437,política,4,0.23
402,amor,4,0.23
438,infelizmente,4,0.23
553,ninguém,4,0.23
546,outras,4,0.23
451,matéria,4,0.23
543,cu,4,0.23
454,pouco,4,0.23
52,concordo,4,0.23
53,sempre,4,0.23
67,🤔,4,0.23
54,bolsominion,4,0.23
492,droga,4,0.23
476,grupo,4,0.23
1297,viu,4,0.23
1355,ignorância,4,0.23
262,mata,4,0.23
1293,governadores,4,0.23
392,lula,4,0.23
141,pausar,4,0.23
383,estar,4,0.23
139,rir,4,0.23
625,causar,4,0.23
475,discurso,3,0.17
461,pegar,3,0.17
17,benefícios,3,0.17
469,news,3,0.17
488,genocida,3,0.17
290,frente,3,0.17
509,tantos,3,0.17
519,mortos,3,0.17
530,horas,3,0.17
499,kkk,3,0.17
458,ficar,3,0.17
980,virus,3,0.17
684,post,3,0.17
733,inteiro,3,0.17
683,bozo,3,0.17
287,sarcasmo,3,0.17
911,único,3,0.17
726,claro,3,0.17
18,cancela,3,0.17
471,merecer,3,0.17
296,ajuda,3,0.17
281,coração,3,0.17
914,concluíram,3,0.17
12,parou,3,0.17
917,segundo,3,0.17
918,autores,3,0.17
275,dose,3,0.17
