,Termo,Frequência Absoluta,Frequência Relativa (%)
167,uti,49,3.39
49,uso,48,3.32
252,hidroxicloroquina,47,3.25
218,pessoas,44,3.04
131,alta,43,2.97
250,pacientes,42,2.9
7,cloroquina,42,2.9
27,🙏,37,2.56
10,deus,36,2.49
249,quatro,34,2.35
266,coronavírus,30,2.07
251,sp,27,1.87
21,ser,25,1.73
25,brasil,23,1.59
43,fake,23,1.59
257,remédio,20,1.38
46,vírus,20,1.38
199,gente,20,1.38
430,covid-19,19,1.31
77,verdade,17,1.18
282,ver,17,1.18
18,todos,15,1.04
181,texto,15,1.04
97,medicamento,14,0.97
214,notícias,14,0.97
461,pé,14,0.97
99,agora,13,0.9
172,contra,13,0.9
182,diz,13,0.9
743,😂,13,0.9
383,hospital,13,0.9
1083,população,12,0.83
82,graças,12,0.83
240,👏,12,0.83
328,saúde,12,0.83
670,pandemia,12,0.83
132,porque,12,0.83
624,morre,11,0.76
898,mortes,11,0.76
14,amém,11,0.76
1,casos,11,0.76
730,tomar,10,0.69
129,pessoa,10,0.69
1373,indivíduos,10,0.69
956,estudo,10,0.69
1374,necessitando,10,0.69
265,fonte,10,0.69
221,mentira,10,0.69
150,mundo,10,0.69
588,médicos,9,0.62
544,corona,9,0.62
978,eua,9,0.62
1300,hospitalização,9,0.62
206,notícia,9,0.62
721,cura,9,0.62
522,dias,9,0.62
411,bolsonaro,9,0.62
331,bom,9,0.62
298,homem,8,0.55
31,grave,8,0.55
458,sabe,8,0.55
534,passou,8,0.55
69,nada,8,0.55
155,cuidado,8,0.55
270,usado,8,0.55
64,efeitos,8,0.55
1253,supressão,8,0.55
1052,itália,7,0.48
318,senhor,7,0.48
477,jornais,7,0.48
197,facebook,7,0.48
403,nenhum,7,0.48
323,record,7,0.48
230,vamos,7,0.48
531,números,7,0.48
134,virus,7,0.48
710,internada,7,0.48
694,tomarem,7,0.48
39,esperança,7,0.48
9,glória,7,0.48
74,viu,7,0.48
30,estado,7,0.48
284,fosfato,7,0.48
467,hoje,6,0.41
160,médica,6,0.41
34,mãe,6,0.41
297,tomou,6,0.41
518,perfis,6,0.41
175,morte,6,0.41
267,independente,6,0.41
1050,live,6,0.41
339,postagem,6,0.41
65,colaterais,6,0.41
977,mulher,6,0.41
464,👍,6,0.41
695,🤣,6,0.41
2,graves,6,0.41
87,precisa,6,0.41
162,passando,6,0.41
70,efeito,6,0.41
47,🙏🏼,6,0.41
126,passa,5,0.35
795,❤,5,0.35
1370,cenário,5,0.35
341,fazer,5,0.35
19,tomara,5,0.35
871,errado,5,0.35
29,anos,5,0.35
1372,infectada,5,0.35
17,certo,5,0.35
404,casa,5,0.35
295,casal,5,0.35
56,ficar,5,0.35
489,ontem,5,0.35
6,usando,5,0.35
79,logo,5,0.35
359,paulo,5,0.35
81,datena,5,0.35
671,testes,5,0.35
5,somente,5,0.35
242,vi,5,0.35
196,conta,5,0.35
246,pico,5,0.35
674,hospitais,5,0.35
256,bem,5,0.35
1266,cenários,5,0.35
718,mídia,5,0.35
146,pegar,5,0.35
974,funciona,5,0.35
102,médico,5,0.35
519,espalhando,5,0.35
347,li,5,0.35
1350,mitigação,4,0.28
417,globo,4,0.28
1265,london,4,0.28
163,tv,4,0.28
788,medidas,4,0.28
264,obrigada,4,0.28
413,panelaço,4,0.28
170,realmente,4,0.28
211,aqui,4,0.28
796,vencer,4,0.28
1289,of,4,0.28
152,curados,4,0.28
676,frança,4,0.28
371,mtos,4,0.28
368,organismo,4,0.28
365,morreu,4,0.28
362,medicação,4,0.28
1377,demanda,4,0.28
1302,países,4,0.28
1264,college,4,0.28
288,reportagem,4,0.28
465,sempre,4,0.28
479,hj,4,0.28
225,vdd,4,0.28
615,caso,4,0.28
51,azitromicina,4,0.28
825,todas,4,0.28
708,paciente,4,0.28
66,ler,4,0.28
483,assunto,4,0.28
327,ministério,4,0.28
314,nesse,4,0.28
1363,–,4,0.28
1204,dióxido,4,0.28
1205,cloro,4,0.28
239,boa,4,0.28
1361,distanciamento,4,0.28
294,falando,4,0.28
581,novo,4,0.28
73,meio,4,0.28
1339,previstos,4,0.28
1263,imperial,4,0.28
244,governo,4,0.28
1011,precisam,4,0.28
439,rede,4,0.28
1075,burro,4,0.28
217,outras,4,0.28
448,questão,4,0.28
905,próximos,4,0.28
33,família,4,0.28
686,crime,4,0.28
83,passar,4,0.28
693,news,4,0.28
831,nunca,3,0.21
287,aquário,3,0.21
1335,contatos,3,0.21
840,feito,3,0.21
813,base,3,0.21
810,livre,3,0.21
353,kkkkk,3,0.21
304,preguiça,3,0.21
1325,sistema,3,0.21
313,alguém,3,0.21
994,evidências,3,0.21
342,vezes,3,0.21
836,forma,3,0.21
992,limitado,3,0.21
993,encontra,3,0.21
1311,cerca,3,0.21
995,gizmodo,3,0.21
334,semana,3,0.21
462,fontes,3,0.21
375,demora,3,0.21
520,fakenews,3,0.21
523,fiquem,3,0.21
1069,cú,3,0.21
538,falsa,3,0.21
742,kkkk,3,0.21
739,morrer,3,0.21
554,presidente,3,0.21
555,prudente,3,0.21
1184,vida,3,0.21
719,pânico,3,0.21
580,risco,3,0.21
583,oms,3,0.21
591,dosagem,3,0.21
707,testado,3,0.21
601,atenção,3,0.21
698,😅,3,0.21
620,fim,3,0.21
622,salvar,3,0.21
1141,refute,3,0.21
1140,iamarino,3,0.21
1139,atila,3,0.21
1138,🐴🐴🐴,3,0.21
1137,revelada,3,0.21
1136,¢σяσηανιяυѕ,3,0.21
1135,📍,3,0.21
685,provas,3,0.21
647,visualizer,3,0.21
675,dividem,3,0.21
673,corrida,3,0.21
672,causam,3,0.21
521,fotos,3,0.21
517,lotado,3,0.21
378,faz,3,0.21
516,perfil,3,0.21
805,entrevista,3,0.21
1291,previsão,3,0.21
1022,dados,3,0.21
395,respeito,3,0.21
797,💪,3,0.21
402,torcer,3,0.21
1270,unido,3,0.21
1269,reino,3,0.21
426,resultados,3,0.21
431,feita,3,0.21
441,estudos,3,0.21
1254,precoce,3,0.21
777,melhores,3,0.21
1245,epa.pdf,3,0.21
1244,by,3,0.21
1243,biocide,3,0.21
925,acredita,3,0.21
1242,registered,3,0.21
1241,dioxide,3,0.21
1240,chlorine,3,0.21
1051,errando,3,0.21
476,pouco,3,0.21
485,♥️,3,0.21
488,usar,3,0.21
755,menos,3,0.21
501,geral,3,0.21
1217,capacidade,3,0.21
1065,bozo,3,0.21
515,liga,3,0.21
991,afirma,3,0.21
667,simplesmente,3,0.21
990,básicos,3,0.21
143,falar,3,0.21
952,chineses,3,0.21
954,melhor,3,0.21
124,sintomas,3,0.21
955,usual,3,0.21
133,curada,3,0.21
137,mutação,3,0.21
140,acredito,3,0.21
142,ninguém,3,0.21
145,curado,3,0.21
113,saiu,3,0.21
151,mil,3,0.21
873,pactes,3,0.21
177,tempo,3,0.21
180,🙏🏻,3,0.21
187,lado,3,0.21
200,devemos,3,0.21
208,dessas,3,0.21
224,falsas,3,0.21
115,várias,3,0.21
106,enquanto,3,0.21
231,favor,3,0.21
53,junto,3,0.21
927,profissionais,3,0.21
12,❤️,3,0.21
15,continue,3,0.21
26,frente,3,0.21
35,donos,3,0.21
36,prevent,3,0.21
37,senior,3,0.21
38,tratada,3,0.21
61,tomem,3,0.21
92,doente,3,0.21
71,colateral,3,0.21
941,política,3,0.21
78,acabe,3,0.21
84,informação,3,0.21
86,galera,3,0.21
903,esperançosa,3,0.21
89,protocolo,3,0.21
91,imbecil,3,0.21
226,ajude,3,0.21
953,concluem,3,0.21
984,coisas,3,0.21
232,momento,3,0.21
255,entendi,3,0.21
1362,social,3,0.21
988,supera,3,0.21
989,cuidados,3,0.21
268,obrigado,3,0.21
1209,proteção,2,0.14
893,brasileiro,2,0.14
997,neste,2,0.14
1211,estados,2,0.14
511,unir,2,0.14
947,grato,2,0.14
895,fala,2,0.14
100,comprar,2,0.14
899,basta,2,0.14
944,profissão,2,0.14
1212,unidos,2,0.14
94,comprando,2,0.14
527,criou,2,0.14
1364,implementada,2,0.14
528,página,2,0.14
833,especialistas,2,0.14
1214,desinfetante,2,0.14
245,saberemos,2,0.14
535,cidade,2,0.14
536,alerta,2,0.14
537,especial,2,0.14
1357,testar,2,0.14
834,matando,2,0.14
541,indenização,2,0.14
1074,bolsominion,2,0.14
543,pausar,2,0.14
85,errada,2,0.14
80,abençoe,2,0.14
547,tim,2,0.14
1067,tambem,2,0.14
504,porém,2,0.14
1066,remedio,2,0.14
109,prevenção,2,0.14
1247,leiam,2,0.14
139,perigosa,2,0.14
1330,número,2,0.14
460,querida,2,0.14
135,corpo,2,0.14
235,começaram,2,0.14
128,acho,2,0.14
127,doença,2,0.14
982,pessimistas,2,0.14
1331,maior,2,0.14
237,boas,2,0.14
271,acompanhamento,2,0.14
886,controle,2,0.14
238,👏🏻,2,0.14
118,estar,2,0.14
117,fato,2,0.14
478,bandeirantes,2,0.14
481,passará,2,0.14
293,fé,2,0.14
114,inclusive,2,0.14
1229,vistos,2,0.14
983,querem,2,0.14
112,entende,2,0.14
494,doentes,2,0.14
890,informar,2,0.14
498,ideia,2,0.14
1220,formas,2,0.14
502,sei,2,0.14
550,protesto,2,0.14
548,pesquisar,2,0.14
849,comprimidos,2,0.14
551,pedindo,2,0.14
607,espertos,2,0.14
704,diferente,2,0.14
610,ministro,2,0.14
1094,deixem,2,0.14
614,equipe,2,0.14
48,lembrando,2,0.14
44,consegue,2,0.14
42,postar,2,0.14
916,conheço,2,0.14
838,faço,2,0.14
278,receitas,2,0.14
1351,envolve,2,0.14
919,nome,2,0.14
637,nessas,2,0.14
24,negativo,2,0.14
23,pensar,2,0.14
1440,reports,2,0.14
20,perto,2,0.14
643,tomando,2,0.14
684,acusar,2,0.14
683,ajuda,2,0.14
16,dando,2,0.14
678,sabem,2,0.14
1111,primeira,2,0.14
1123,saber,2,0.14
1122,fizeram,2,0.14
273,familia,2,0.14
660,caixa,2,0.14
4,ac,2,0.14
669,ok,2,0.14
1093,entao,2,0.14
606,comentário,2,0.14
553,comércio,2,0.14
605,dia-a-dia,2,0.14
450,comprovação,2,0.14
735,matou,2,0.14
734,dizendo,2,0.14
1079,mandou,2,0.14
731,receita,2,0.14
906,dez,2,0.14
727,respeitar,2,0.14
986,consegui,2,0.14
724,limpar,2,0.14
67,bula,2,0.14
908,alívio,2,0.14
720,potencial,2,0.14
576,dizem,2,0.14
1173,segundo,2,0.14
60,ar,2,0.14
59,morrendo,2,0.14
582,eficácia,2,0.14
714,automedicação,2,0.14
586,acontece,2,0.14
1169,bando,2,0.14
57,nessa,2,0.14
590,sabendo,2,0.14
594,testou,2,0.14
595,usa,2,0.14
597,anvisa,2,0.14
1353,idosos,2,0.14
602,usuário,2,0.14
603,afumentando,2,0.14
604,ódio,2,0.14
451,causa,2,0.14
760,associação,2,0.14
1009,responsabilidade,2,0.14
355,jornal,2,0.14
204,precisar,2,0.14
352,ia,2,0.14
392,leia,2,0.14
351,post,2,0.14
1023,quero,2,0.14
306,torcendo,2,0.14
349,exatamente,2,0.14
968,inteiro,2,0.14
348,pensei,2,0.14
205,poxa,2,0.14
1014,maneira,2,0.14
173,lutando,2,0.14
1307,resumo,2,0.14
872,malária,2,0.14
1278,restritivas,2,0.14
209,comentários,2,0.14
408,globolixo,2,0.14
1030,importante,2,0.14
366,própria,2,0.14
305,preguiçosa,2,0.14
979,perigoso,2,0.14
203,deixar,2,0.14
388,médicas,2,0.14
215,ruins,2,0.14
803,próprios,2,0.14
189,cientista,2,0.14
1299,estatísticas,2,0.14
364,direito,2,0.14
363,pesquisem,2,0.14
308,próprio,2,0.14
372,estao,2,0.14
1378,leitos,2,0.14
361,devido,2,0.14
1301,óbitos,2,0.14
186,deste,2,0.14
376,falta,2,0.14
377,exame,2,0.14
973,entender,2,0.14
1327,colapso,2,0.14
358,recebem,2,0.14
380,auto,2,0.14
1294,diferentes,2,0.14
357,tratados,2,0.14
201,acabar,2,0.14
307,pior,2,0.14
386,concordo,2,0.14
158,medicamentos,2,0.14
1274,estratégia,2,0.14
147,novamente,2,0.14
1368,tardia,2,0.14
427,fazem,2,0.14
1314,infectadas,2,0.14
428,parte,2,0.14
1315,críticos,2,0.14
1367,mantida,2,0.14
148,prevenir,2,0.14
1366,habitantes,2,0.14
1035,alguns,2,0.14
1036,dose,2,0.14
326,horas,2,0.14
1256,diferença,2,0.14
303,procurar,2,0.14
1041,infarto,2,0.14
144,infectado,2,0.14
444,medicina,2,0.14
141,ouvi,2,0.14
312,existe,2,0.14
447,fez,2,0.14
300,falecer,2,0.14
153,povo,2,0.14
976,causar,2,0.14
154,querido,2,0.14
332,demais,2,0.14
216,muitas,2,0.14
335,rezar,2,0.14
424,senra,2,0.14
219,altas,2,0.14
421,cobaia,2,0.14
929,inacreditável,1,0.07
928,aplaude,1,0.07
937,governante,1,0.07
933,parabenizar,1,0.07
936,independentemente,1,0.07
1102,riscos,1,0.07
1101,correndo,1,0.07
980,liberada,1,0.07
1012,responsáveis,1,0.07
1004,espalhou,1,0.07
1090,malefícios,1,0.07
1103,tirando,1,0.07
1089,corretamente,1,0.07
1091,deixou,1,0.07
1003,imprudencia,1,0.07
1104,racionado,1,0.07
981,bosta,1,0.07
1105,justamente,1,0.07
1088,fizer,1,0.07
1002,cometeram,1,0.07
1106,senso,1,0.07
938,fazendo,1,0.07
1112,contabilizada,1,0.07
1005,mágica,1,0.07
935,vista,1,0.07
1006,espalhar,1,0.07
930,pretendo,1,0.07
1097,esgotando,1,0.07
1000,isenta,1,0.07
1096,saiam,1,0.07
1095,fazerem,1,0.07
1113,idade,1,0.07
1099,alem,1,0.07
1013,divulgar,1,0.07
1100,estarem,1,0.07
1015,assertiva,1,0.07
1107,compra,1,0.07
987,feliz,1,0.07
1108,lamentável,1,0.07
1010,plenamente,1,0.07
1109,santa,1,0.07
1110,catarina,1,0.07
932,palmas,1,0.07
1008,pesquisa,1,0.07
934,ponto,1,0.07
1007,estagio,1,0.07
1092,morta,1,0.07
1098,farmacias,1,0.07
931,bater,1,0.07
1043,saem,1,0.07
975,critério,1,0.07
1063,msm,1,0.07
1057,sabia,1,0.07
1001,acha,1,0.07
1058,💖,1,0.07
1059,🙌,1,0.07
1060,aleluia,1,0.07
1061,inventou,1,0.07
1062,gado,1,0.07
960,secundária,1,0.07
949,coloca,1,0.07
1031,dimensão,1,0.07
1034,testadas,1,0.07
1064,ate,1,0.07
1033,curas,1,0.07
961,bacteriana,1,0.07
948,virao,1,0.07
962,além,1,0.07
1032,diante,1,0.07
963,anti-inflamatórios,1,0.07
959,infecção,1,0.07
1056,males,1,0.07
1055,prescrição,1,0.07
1054,divulga,1,0.07
1045,desavisados,1,0.07
1046,sair,1,0.07
958,piorar,1,0.07
1042,relacionadas,1,0.07
957,antibiótico,1,0.07
998,apoiar,1,0.07
999,isento,1,0.07
1040,cardíaca,1,0.07
1047,vejam,1,0.07
1048,prof,1,0.07
1049,explica,1,0.07
1039,arritmia,1,0.07
1038,administrar,1,0.07
951,gloeia,1,0.07
1053,funcionando,1,0.07
1037,souber,1,0.07
950,🤨,1,0.07
964,ajudar,1,0.07
1068,kkkkkk,1,0.07
1087,primeiro,1,0.07
1081,placebo,1,0.07
1020,aconselho,1,0.07
1077,respeitou,1,0.07
971,muitos,1,0.07
985,dado,1,0.07
972,usarem,1,0.07
1044,postando,1,0.07
1019,ciclo,1,0.07
1080,produzir,1,0.07
1082,acalmar,1,0.07
1029,entrar,1,0.07
940,cobro,1,0.07
1018,farmacêutica,1,0.07
1017,noção,1,0.07
1084,aonde,1,0.07
939,obrigação,1,0.07
1016,presidentes,1,0.07
1085,desliga,1,0.07
1086,desinformada,1,0.07
1076,merece,1,0.07
996,tanque,1,0.07
970,basicamente,1,0.07
1021,aguardar,1,0.07
946,foda,1,0.07
945,humano,1,0.07
1028,podemo,1,0.07
965,resposta,1,0.07
1070,claro,1,0.07
1071,teste,1,0.07
966,inflamatória,1,0.07
1027,think,1,0.07
943,jovem,1,0.07
1026,fishfull,1,0.07
1072,mercado,1,0.07
942,negatividade,1,0.07
967,pulmonar,1,0.07
1025,máximo,1,0.07
1024,científicos,1,0.07
1073,funcione,1,0.07
969,partir,1,0.07
1078,vadia,1,0.07
0,conteúdo,1,0.07
1114,mês,1,0.07
1380,observações,1,0.07
1329,resulta,1,0.07
1332,causas,1,0.07
1333,tratar,1,0.07
1334,restrições,1,0.07
1336,bilhões,1,0.07
1337,milhões,1,0.07
1338,ano,1,0.07
1340,governos,1,0.07
1341,desistissem,1,0.07
1342,posturas,1,0.07
1343,relaxadas,1,0.07
1344,tomassem,1,0.07
1345,evitar,1,0.07
1346,dia,1,0.07
1347,soltou,1,0.07
1348,desfechos,1,0.07
1349,intervenção,1,0.07
1352,proteger,1,0.07
1354,reduzir,1,0.07
1355,restringir,1,0.07
1356,restante,1,0.07
1358,isolar,1,0.07
1359,positivos,1,0.07
1360,estabelecer,1,0.07
1365,fase,1,0.07
1369,seguintes,1,0.07
1371,total,1,0.07
1375,reforço,1,0.07
1376,3.222.096,1,0.07
1328,disso,1,0.07
1326,gerando,1,0.07
1324,ultrapassa,1,0.07
1304,dissemina,1,0.07
1284,rapidamente,1,0.07
1285,pudessem,1,0.07
1286,imunizadas,1,0.07
1287,desistiu,1,0.07
1288,epidemiológicos,1,0.07
1290,apresentou,1,0.07
1292,desenrolaria,1,0.07
1293,disseminação,1,0.07
1295,contenção,1,0.07
1296,elaborar,1,0.07
1297,utilizaram,1,0.07
1298,contágio,1,0.07
1303,estudaram,1,0.07
1305,ambientes,1,0.07
1323,aumento,1,0.07
1306,breve,1,0.07
1308,circular,1,0.07
1309,livremente,1,0.07
1310,infectar,1,0.07
1312,período,1,0.07
1313,curto,1,0.07
1316,suporte,1,0.07
1317,respiratório,1,0.07
1318,metade,1,0.07
1319,vêm,1,0.07
1320,óbito,1,0.07
1321,entanto,1,0.07
1322,súbito,1,0.07
1379,algumas,1,0.07
1381,autores,1,0.07
1115,familiar,1,0.07
1382,comentam,1,0.07
1415,respirador,1,0.07
1416,ficarmos,1,0.07
1417,adotar,1,0.07
1418,branda,1,0.07
1419,grupos,1,0.07
1420,ordem,1,0.07
1421,milhão,1,0.07
1422,vidas,1,0.07
1423,diversos,1,0.07
1424,relatórios,1,0.07
1425,disponíveis,1,0.07
1426,site,1,0.07
1427,wuhan-coronavirus,1,0.07
1428,fbclid=iwar0geexfnu6ezovclpbvw5x3z3yon5n1x6sido5p7ezuom_uwouu31rboay,1,0.07
1429,link,1,0.07
1430,trabalho,1,0.07
1431,global,1,0.07
1432,impact,1,0.07
1433,strategies,1,0.07
1434,mitigation,1,0.07
1435,suppression,1,0.07
