,Termo,Frequência Absoluta,Frequência Relativa (%)
20,cloroquina,55,3.0
2,deus,50,2.72
164,remédio,49,2.67
10,pessoas,43,2.34
181,ver,40,2.18
71,ser,39,2.13
35,record,35,1.91
229,medicamento,33,1.8
128,cura,30,1.63
481,coronavírus,29,1.58
304,contra,29,1.58
99,gente,28,1.53
548,vírus,27,1.47
92,certo,23,1.25
5,fake,22,1.2
141,testes,18,0.98
396,aqui,17,0.93
231,sabe,17,0.93
59,nada,17,0.93
559,mundo,17,0.93
8,vi,17,0.93
26,todos,16,0.87
7,verdade,16,0.87
209,bem,16,0.87
34,agora,15,0.82
613,brasil,15,0.82
14,pessoa,15,0.82
478,melhor,15,0.82
477,hidroxicloroquina,15,0.82
127,fé,15,0.82
16,diz,15,0.82
879,🙏,14,0.76
496,boa,14,0.76
644,uso,14,0.76
82,covid-19,14,0.76
18,pacientes,14,0.76
385,estudo,12,0.65
423,existe,12,0.65
103,tratamento,12,0.65
15,texto,12,0.65
441,fazendo,12,0.65
50,médicos,12,0.65
109,bom,12,0.65
358,falando,11,0.6
971,ajuda,11,0.6
69,médica,11,0.6
95,povo,11,0.6
200,tomar,11,0.6
43,dando,11,0.6
447,teste,11,0.6
165,casa,11,0.6
305,presidente,11,0.6
81,curar,10,0.54
96,😂,10,0.54
577,alerta,10,0.54
1176,anvisa,10,0.54
284,hospitais,10,0.54
9,jornal,10,0.54
893,bolsonaro,10,0.54
393,fazer,9,0.49
64,ar,9,0.49
44,entrevista,9,0.49
37,moça,9,0.49
125,vamos,9,0.49
878,amém,9,0.49
398,funciona,9,0.49
294,médico,9,0.49
282,casos,9,0.49
1206,receita,9,0.49
102,medicamentos,8,0.44
161,morrer,8,0.44
438,faz,8,0.44
1,glória,8,0.44
80,automedicar,8,0.44
281,usando,8,0.44
205,falar,8,0.44
289,porque,8,0.44
1069,anos,8,0.44
107,tomando,8,0.44
106,sair,8,0.44
1336,lula,8,0.44
48,dia,8,0.44
100,esperança,8,0.44
346,coronavirus,8,0.44
830,caso,7,0.38
771,vários,7,0.38
105,dizendo,7,0.38
104,ninguém,7,0.38
896,mortes,7,0.38
1790,substory_index=0,7,0.38
61,tv,7,0.38
3,acredito,7,0.38
4,👏,7,0.38
6,news,7,0.38
249,sempre,7,0.38
233,amor,7,0.38
568,corrida,7,0.38
223,corona,7,0.38
221,saiu,7,0.38
265,resultados,7,0.38
201,prescrição,7,0.38
45,curada,7,0.38
297,emissora,7,0.38
317,acredita,7,0.38
338,paciente,7,0.38
78,homem,7,0.38
