,Termo,Frequência Absoluta,Frequência Relativa (%)
6,remédio,40,2.18
168,medicamento,38,2.07
93,cloroquina,37,2.02
130,médico,35,1.91
40,ser,34,1.85
39,uso,25,1.36
269,covid-19,22,1.2
124,pessoas,22,1.2
157,colaterais,21,1.14
191,coronavírus,21,1.14
146,tomar,19,1.03
156,efeitos,19,1.03
295,nada,19,1.03
443,vírus,18,0.98
131,sabe,16,0.87
51,pacientes,16,0.87
103,tratamento,16,0.87
184,dias,15,0.82
548,bem,15,0.82
647,saúde,15,0.82
1017,coronavirus,15,0.82
62,porque,15,0.82
153,faz,15,0.82
80,pessoa,14,0.76
215,médicos,14,0.76
265,anos,14,0.76
37,mandetta,14,0.76
71,mundo,14,0.76
64,saber,14,0.76
257,todos,14,0.76
210,aqui,14,0.76
203,medicação,13,0.71
324,cura,13,0.71
56,dia,13,0.71
855,receita,13,0.71
128,contra,13,0.71
197,paciente,12,0.65
262,gente,12,0.65
8,certo,12,0.65
728,fala,12,0.65
229,brasil,11,0.6
757,dr,11,0.6
193,nenhum,11,0.6
9,agora,10,0.54
162,risco,10,0.54
942,news,10,0.54
81,toma,10,0.54
120,lúpus,10,0.54
211,médica,10,0.54
23,fazendo,10,0.54
266,usado,10,0.54
87,bula,10,0.54
1226,david,9,0.49
117,claro,9,0.49
1321,more,9,0.49
1322,great,9,0.49
83,texto,9,0.49
318,pandemia,9,0.49
260,deus,9,0.49
166,acho,9,0.49
48,resultados,9,0.49
1723,salvar,9,0.49
832,quarentena,8,0.44
568,início,8,0.44
43,doença,8,0.44
33,causa,8,0.44
521,tempo,8,0.44
46,eficácia,8,0.44
408,nenhuma,8,0.44
232,ver,8,0.44
84,diz,8,0.44
270,ninguém,8,0.44
18,cegueira,7,0.38
362,efeito,7,0.38
1773,canino,7,0.38
1618,pressão,7,0.38
462,presidente,7,0.38
17,causar,7,0.38
177,somente,7,0.38
729,precisa,7,0.38
841,prescrição,7,0.38
305,pesquisa,7,0.38
194,estudo,7,0.38
374,bom,7,0.38
282,nunca,7,0.38
461,usando,7,0.38
200,acompanhamento,7,0.38
202,dosagem,7,0.38
1227,uip,7,0.38
49,pesquisas,7,0.38
598,vídeo,7,0.38
70,ler,7,0.38
41,feito,7,0.38
144,medo,7,0.38
231,vamos,7,0.38
36,verdade,7,0.38
34,problemas,7,0.38
280,dipirona,6,0.33
179,igual,6,0.33
781,usa,6,0.33
148,morrer,6,0.33
136,melhor,6,0.33
616,caso,6,0.33
561,casos,6,0.33
493,primeiro,6,0.33
161,obrigada,6,0.33
316,simples,6,0.33
204,existe,6,0.33
320,monte,6,0.33
239,uti,6,0.33
1744,natural,6,0.33
91,usar,6,0.33
711,bolsonaro,6,0.33
65,dose,6,0.33
61,graves,6,0.33
60,sequelas,6,0.33
420,falar,6,0.33
78,mil,6,0.33
498,matar,6,0.33
247,utilizado,6,0.33
469,trump,6,0.33
30,corona,6,0.33
29,tanto,6,0.33
72,informações,6,0.33
16,errado,6,0.33
271,ficar,6,0.33
676,querem,6,0.33
287,certeza,6,0.33
278,leia,6,0.33
873,tomou,6,0.33
5,riscos,6,0.33
27,falando,5,0.27
317,entender,5,0.27
1281,amigo,5,0.27
512,logo,5,0.27
63,estudos,5,0.27
154,mal,5,0.27
752,link,5,0.27
11,alguma,5,0.27
503,acha,5,0.27
176,realmente,5,0.27
1177,imunidade,5,0.27
1089,indicação,5,0.27
47,primeiros,5,0.27
45,científica,5,0.27
263,amiga,5,0.27
1262,laboratório,5,0.27
338,meio,5,0.27
504,inclusive,5,0.27
104,altas,5,0.27
475,eua,5,0.27
1077,quiser,5,0.27
785,esquerda,5,0.27
497,além,5,0.27
1279,fabricar,5,0.27
298,difícil,5,0.27
121,conheço,5,0.27
132,protocolo,5,0.27
322,phd,5,0.27
555,mim,5,0.27
737,ministério,5,0.27
1199,mortes,5,0.27
715,povo,5,0.27
142,remedio,5,0.27
427,questão,5,0.27
283,tome,4,0.22
926,maia,4,0.22
281,exemplo,4,0.22
1232,prot,4,0.22
741,malária,4,0.22
542,colocar,4,0.22
734,eletrocardiograma,4,0.22
937,parece,4,0.22
455,conta,4,0.22
301,durante,4,0.22
1772,ccov,4,0.22
290,fonte,4,0.22
1252,mg,4,0.22
291,morre,4,0.22
743,farmácia,4,0.22
218,fazer,4,0.22
460,país,4,0.22
258,países,4,0.22
746,usada,4,0.22
709,zelenko,4,0.22
1130,favor,4,0.22
250,ministro,4,0.22
212,fato,4,0.22
1012,relação,4,0.22
279,aspirina,4,0.22
100,única,4,0.22
395,desde,4,0.22
22,informação,4,0.22
76,entende,4,0.22
35,coração,4,0.22
139,todas,4,0.22
92,difosfato,4,0.22
837,fake,4,0.22
1601,livre,4,0.22
1474,querido,4,0.22
1624,últimas,4,0.22
55,partir,4,0.22
878,arritmia,4,0.22
58,doses,4,0.22
118,entendo,4,0.22
833,inteiro,4,0.22
1600,consentimento,4,0.22
589,vários,4,0.22
346,hospital,4,0.22
999,annie,4,0.22
3,discurso,4,0.22
380,estar,4,0.22
7,dando,4,0.22
1197,sucesso,4,0.22
657,cara,4,0.22
587,casa,4,0.22
424,aplicar,4,0.22
1215,termo,4,0.22
19,outras,4,0.22
771,matéria,4,0.22
772,ny,4,0.22
439,remédios,4,0.22
982,atual,4,0.22
1042,explicação,3,0.16
458,guerra,3,0.16
459,política,3,0.16
1278,interesse,3,0.16
574,iria,3,0.16
1672,querida,3,0.16
293,quina,3,0.16
1685,horas,3,0.16
1684,hospitalares,3,0.16
1283,pena,3,0.16
1332,farmacologia,3,0.16
401,pior,3,0.16
1288,irá,3,0.16
404,tomei,3,0.16
405,quase,3,0.16
692,muitos,3,0.16
407,artrite,3,0.16
994,força,3,0.16
379,devia,3,0.16
557,tomo,3,0.16
302,entrevista,3,0.16
564,algumas,3,0.16
354,situação,3,0.16
1358,vidas,3,0.16
435,chance,3,0.16
351,família,3,0.16
1033,funciona,3,0.16
1260,haver,3,0.16
1661,covid19,3,0.16
449,cardíaco,3,0.16
341,sabemos,3,0.16
944,gilmar,3,0.16
943,om.s,3,0.16
658,morrendo,3,0.16
1367,louca,3,0.16
1035,moça,3,0.16
446,organismo,3,0.16
355,momento,3,0.16
934,merda,3,0.16
303,eficiência,3,0.16
358,vale,3,0.16
1340,docente,3,0.16
454,pagar,3,0.16
447,acima,3,0.16
306,feita,3,0.16
972,trabalha,3,0.16
1272,patente,3,0.16
612,mortos,3,0.16
970,dinheiro,3,0.16
309,exatamente,3,0.16
567,devido,3,0.16
674,área,3,0.16
566,morte,3,0.16
364,hospitais,3,0.16
963,👏,3,0.16
1556,sensato,3,0.16
637,deveria,3,0.16
205,significa,3,0.16
1793,imunomodulador,3,0.16
766,becomes,3,0.16
1000,ravasco,3,0.16
111,meses,3,0.16
800,tomaram,3,0.16
531,fez,3,0.16
879,doente,3,0.16
794,comprovada,3,0.16
122,várias,3,0.16
792,veneno,3,0.16
1406,frente,3,0.16
129,automedicação,3,0.16
1800,múltiplos,3,0.16
1799,antígenos,3,0.16
1798,associados,3,0.16
1797,cpv,3,0.16
1796,parvovírus,3,0.16
1795,verde,3,0.16
1471,noção,3,0.16
1794,própolis,3,0.16
152,porém,3,0.16
276,pessoal,3,0.16
1792,pdf,3,0.16
537,google,3,0.16
163,vida,3,0.16
484,pneumonia,3,0.16
768,star,3,0.16
106,prazo,3,0.16
105,longo,3,0.16
1453,faço,3,0.16
66,necessária,3,0.16
849,crm,3,0.16
10,ótimo,3,0.16
513,vê,3,0.16
847,grave,3,0.16
20,coisas,3,0.16
843,quero,3,0.16
28,mata,3,0.16
840,assinou,3,0.16
838,paulo,3,0.16
44,comprovação,3,0.16
54,sair,3,0.16
67,eficaz,3,0.16
875,ficou,3,0.16
831,desrespeitam,3,0.16
1626,🤔,3,0.16
