Usuário,Reply,Conteúdo,Reações,Editado
José Lopes,,So para rico não para pobre,4,FALSE
Simone Freitas,José Lopes,dexametasona tem em qq farmácia,0,FALSE
José Lopes,,Estou falando do hospital moça não de remedio.,0,FALSE
Fábio Romulo,,"Enquanto eles anunciam todos os medicamentos que podem combater a multiplicação do vírus, as farmácias do Brasil todo vendendo e faturando",1,FALSE
Marisa Gama Rupeika,,Ue não funcionou na Prevent sênior?,1,FALSE
Aniele Bernardo,Marisa Gama Rupeika,"Não para todos, pessoas com problemas cardíacos e renais não poderiam receber a medicação. Fora que muitos receberam no começo dos sintomas e não quando estava se agravando",2,FALSE
Leonel Majewski,Marisa Gama Rupeika,o Ficaria já divulgou uma pesquisa onde mostra que a Cloroquina e a Hidroxocloroquina não melhora a recuperação de pacientes do COVID-19.,0,FALSE
João Victor Braga,,La era aplicado um coquitel.. n só a cloroquina..,0,FALSE
Pedro Er FN,,"https://revistacrescer.globo.com/Criancas/Saude/noticia/2020/04/hidroxicloroquina-e-o-tratamento-mais-eficaz-contra-o-coronavirus-atualmente-disponivel-segundo-pesquisa-internacional-feita-com-6-mil-medicos.html A hidroxicloroquina é o tratamento mais eficaz contra o coronavírus atualmente disponível, segundo pesquisa internacional feita com 6 mil médicosREVISTACRESCER.GLOBO.COM A hidroxicloroquina é o tratamento mais eficaz contra o coronavírus atualmente disponível, segundo pesquisa internacional feita com 6 mil médicos. A hidroxicloroquina é o tratamento mais eficaz contra o coronavírus atualmente disponível, segundo pesquisa internacional feita com 6 mil médicos",6,FALSE
Pedro Er FN,,"Qual delas, tem 65 pesquisas para você verificar? https://saude.estadao.com.br/noticias/geral,65-estudos-cientificos-investigam-efeitos-da-cloroquina-contra-covid-19-so-3-foram-finalizados,70003267545  65 estudos científicos investigam efeitos da cloroquina contra covid-19; só 3 foram finalizados - Saúde - Estadão SAUDE.ESTADAO.COM.BR 65 estudos científicos investigam efeitos da cloroquina contra covid-19; só 3 foram finalizados - Saúde - Estadão. 65 estudos científicos investigam efeitos da cloroquina contra covid-19; só 3 foram finalizados - Saúde - Estadão",1,FALSE
Pedro Er FN,,Se o seu filho estivesse na UTI e você tivesse que escolher entre medicar com Hidroxicloroquina ou esperar estudos científicos. O que escolheria?,5,FALSE
Simone Freitas,Pedro Er FN,medicação sem duvida,1,FALSE
Flavia Suzana,,Ja usei essa dexametasona(pomada),2,FALSE
Amisterdan Chagas,,Uso veterinário?,3,FALSE
Amisterdan Chagas,Pablo Rocha,A galera já faz uso do ivomec  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣,1,FALSE
Luciene Railo,Amisterdan Chagas,nao. Xarope pra tosse uso pro meu filho,2,FALSE
Amisterdan Chagas,Luciene Railo,blz,2,FALSE
Mel Costa,,"Dexametasona não é veterinário ,se informe.",0,FALSE
