Usuário,Reply,Conteúdo,Reações,Editado
Dimas Nascimento,,Os casos eram graves ? Estavam com respiradores?,2,FALSE
Nando Miguel,,Ac,0,FALSE
Tiago Aldo,,Somente casos graves estão usando cloroquina,1,FALSE
Priscila Fileto,,Up,0,FALSE
El Sant,,Glória à Deus!,0,FALSE
Nayara Alves,,Ac,0,FALSE
Patricia Arruda,,Gloria a Deus ❤️,0,FALSE
Elaine Lara,,,0,FALSE
Lays Andrade,,Deus e maravilho,0,FALSE
Melissa Soares,,Amém,0,FALSE
Débora Rosa,,Amém!!!,0,FALSE
Melissa Soares,,Que continue dando certo a todos,1,FALSE
Adriana Verde Barbetta,,Tomara,0,FALSE
Renato Z. Locatelli,,Isso não é nem perto de ser a solução,0,FALSE
Morena Oliveira,,Para de pensar negativo. Por isso que o brasil nao vai pra frente,0,FALSE
Jhu Siller Levy,,Amém 🙏,0,FALSE
Maria De Lourdes Lourdes,,Deve ser Feike! 1,0,FALSE
Vinícius Vieira,,"Não é. 75 anos, estava em estado grave e já tinha até se despedido da família. https://www.uol.com.br/vivabem/noticias/redacao/2020/03/22/mae-de-donos-da-prevent-senior-e-tratada-com-cloroquina-temos-esperanca.htm  Mãe de donos da Prevent Senior é tratada com cloroquina: ""Temos esperança"" UOL.COM.BR Mãe de donos da Prevent Senior é tratada com cloroquina: ""Temos esperança"" Mãe de donos da Prevent Senior é tratada com cloroquina: ""Temos esperança""",1,FALSE
Alexandra Alves,Maria De Lourdes Lourdes,difícilmente ele irá postar algo fake.,0,FALSE
Morena Oliveira,,Para de pensar negativo. Por isso que o brasil nao vai pra frente 1,0,FALSE
Flávia CB,,Isso para quem consegue comprovar que tem o vírus.,1,TRUE
Wanessa Almeida Morais,Evanildo Silva,,0,FALSE
Roseli França,,🙏🏼 🙏🏼 🙏🏼,0,FALSE
Andreia Gomes,,Lembrando que não é só o uso de cloroquina,4,FALSE
Vinícius Vieira,,É em conjunto com a Azitromicina.,0,FALSE
Érika Fiuza,Tioma Andreia Gomes,"e um coquetel junto com. Oxacilina, rinfanpricina",0,FALSE
Vera Sonia Castanheira Lucente,Andreia Gomes,só tem uma coisa se eu ficar nessa situação morrendo sem ar tomem essa atitude comigo mesmo com todos os efeitos colaterais que tiver!,0,FALSE
Vera Sonia Castanheira Lucente,,Se formos ler bula não nos tratamos para nada tudo tem ou pode ter efeito colateral,1,FALSE
Vera Sonia Castanheira Lucente,Cidinha Bastos,,0,FALSE
Elaine Albuquerque,,Amém 🙏,0,FALSE
Allan Santos,,Amém Deus todo poderoso que está no meio de nós ❤️ 🙏,0,FALSE
Patrícia Das Neves,,Glória Deus,1,FALSE
Cristiane Fávaro Rotta,,Onde vc viu isso pra Amim compartilhar? Q seja verdade e q acabe logo com isso!! Deus nos abençoe,0,FALSE
Daniela Prado,Cristiane Fávaro Rotta,Datena,0,FALSE
Yasmin Puigdevall,,🙏 🙏 🙏 🙏 graças a deus tomara que continue assim,0,FALSE
Marcella Nogueira,,Para de passar informação errada galera.,1,FALSE
Marcella Nogueira,,"A cloroquina precisa ser associada com todo um protocolo de tratamento. Aí vem os imbecil que nem doente está e sai comprando, deixando quem depende do medicamento sem.",5,FALSE
Nando Miguel,Marcella Nogueira,falaram que agora somente pode comprar com permissão de um médico,0,FALSE
Nando Miguel,,Ta certo,0,FALSE
Marcella Nogueira,Nando Miguel,tomara que as drogarias sigam as instruções!,1,FALSE
Vera Sonia Castanheira Lucente,Marcella Nogueira,mas por enquanto é só para quem está muito ruim para casos leves ou prevenção não precisa!,0,TRUE
Marcella Nogueira,Vera Sonia Castanheira Lucente,O problema é que o pessoal não entende isso! Já saiu inclusive várias reportagens sobre o fato da galera estar comprando sem necessidades.,0,FALSE
Suzana Ananias,,🙏,0,FALSE
Maria Camargo,,,0,FALSE
Sueli Rosa de Almeida,,Tomara q seja verdade.,0,FALSE
Cristiane Ferreira,,Amem,0,FALSE
Jabs Marreta,,Não adianta nada ele hospedeiro intermediário sintomas acabam mas ele passa a doença,0,FALSE
Nando Miguel,Jabs Marreta,acho que não hein Quando a pessoa fica em alta e porque ja foi curada Esta sem o virus no corpo,0,FALSE
Jabs Marreta,Nando Miguel,vírus sofre mutação se ela esta imune ela pessoa mas perigosa porque ela não vai ter mas sintomas só passa a doença.,0,FALSE
Nando Miguel,Jabs Marreta,acredito que não Não ouvi ninguém falar isso Quando o infectado e curado pode sim pegar novamente se não se prevenir Mas o virus desaparece No mundo todo já são mais de 100 mil curados,1,TRUE
Maria Julia Aquino,,Povo querido cuidado com estas informações. Nao tome medicamentos sem prescricao médica.,2,FALSE
Daniela Prado,Maria Julia Aquino,Datena e batti,0,FALSE
Daniela Prado,,Tá passando tv,0,FALSE
Maria Julia Aquino,Daniela Prado,meus amores sou enfermeira com pós em emergência e UTI. Não faça isso. Ainda não temos comprovações que realmente ele é eficaz contra o vírus. Estamos lutando diariamente contra s morte. Estamos preocupados com todos. Estamos lutando o tempo todo . Nos ajudem. Beijos,0,FALSE
Simone Barros,,Graças à Deus 🙏🏻,1,FALSE
Eduardo Anselmo,,"A imagem pode conter: 1 pessoa, texto que diz ""cartunistamachado ODEBATE DO SÉCULO DESTE LADO DO RINGUE ELE, CIENTISTA, PHD, POS GRADUADO PELA SOURBONNE... E DESTE LADO o DESAFIANTE COM SUA OMSUA CONTA NO FACEBOOK! macrads.""",3,FALSE
Maria Inez Cavalcante Lobo,,"Gente isso é verdade,Glória Deus.",0,FALSE
Hamilton Trader,,"Amém mas não devemos acabar com os estoques, devemos deixar para quem realmente vai precisar",3,FALSE
Daiane Anjos,,Poxa uma notícia maravilhosa dessas e o que tem de comentários negativos por aqui.. parece que só gostam de notícias ruins .. Que muitas outras pessoas tenham altas ... ❤️,6,FALSE
Dalla Dias,,Tomare não seja mentira aqui na Net tá saindo muitas notícias falsas Se for vdd que Deus nos ajude,0,FALSE
Maiara Matilde,,Amém no Amapá tb estão usando,1,FALSE
Evinha Penteado,,"Se for verdade mesmo, que Deus nos ajude !",0,FALSE
Edlane Leite Dill,Evinha Penteado,é verdade simmm,0,FALSE
Evinha Penteado,Edlane Leite Dill,Glória a Deus !,1,FALSE
Edlane Leite Dill,,A imagem pode conter: uma ou mais pessoas,3,FALSE
Flavia Viriato,,Isso é sério! Poxa não vamos passar notícias falsas não por favor esse momento de medo e dor..,1,FALSE
Karen Fernanda,Tatiana Oliveira Bartolomeu,,1,FALSE
Tatiana Oliveira Bartolomeu,Karen Fernanda,glória a Deus começaram a aparecer boas notícias que assim continue 👏🏻 👏🏻 🙏🏼 🙏🏼 🙏🏼,0,FALSE
Angel Raposa,,,0,FALSE
Natália Bruno,,Isso sim é uma boa notícia 👏 👏 👏 👏,0,FALSE
Rene Ceni,,Será verdade espero q sim m n vi nada vinda do governo...se for mesmo saberemos logo,1,FALSE
Joao Amaro,,ISSO É QUE NEM ESTAMOS NO PICO E JÁ TEM GENTE DESESPERADO,0,FALSE
Rafa França,,Graças a Deus 💞,0,FALSE
Daiane Anjos,,https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina,2,FALSE
Vanderleia Lima,Daiane Anjos,"eu tava lendo a bula mas não entendi muito bem, os efeitos colaterais desse remédio me corrijam e me desculpem se eu estiver errada mas os efeitos colaterais não pareceu tão graves, E se não for porque não ultilizar em quem estiver prescisando?",0,FALSE
Daiane Anjos,Vanderleia Lima,estão usando como protocolo em pacientes graves... Junto com outros medicamentos..,0,FALSE
Vanderleia Lima,Daiane Anjos,hum entendi obrigada,0,FALSE
