Usuário,Reply,Conteúdo,Reações,Editado
Mauricio Negrao,,https://www.dw.com/pt-br/trump-diz-que-est%C3%A1-tomando-hidroxicloroquina/a-53490069?maca=pt-BR-Facebook-sharing Trump diz que está tomando hidroxicloroquina | DW | 18.05.2020 DW.COM Trump diz que está tomando hidroxicloroquina | DW | 18.05.2020 Trump diz que está tomando hidroxicloroquina | DW | 18.05.2020,0,FALSE
Mauricio Negrao,,"https://www.correiobraziliense.com.br/app/noticia/mundo/2020/05/18/interna_mundo,856128/trump-revela-que-esta-tomando-hidroxicloroquina-preventivamente.shtml Trump revela que está tomando hidroxicloroquina ''preventivamente'' CORREIOBRAZILIENSE.COM.BR Trump revela que está tomando hidroxicloroquina ''preventivamente'' Trump revela que está tomando hidroxicloroquina ''preventivamente''",0,FALSE
Mauricio Negrao,,https://www1.folha.uol.com.br/mundo/2020/05/trump-diz-que-toma-hidroxicloroquina-como-prevencao-ao-coronavirus.shtml Trump diz tomar hidroxicloroquina para evitar coronavírus mesmo sem eficácia comprovada WWW1.FOLHA.UOL.COM.BR Trump diz tomar hidroxicloroquina para evitar coronavírus mesmo sem eficácia comprovada Trump diz tomar hidroxicloroquina para evitar coronavírus mesmo sem eficácia comprovada,0,FALSE
Cléo Lorena Demuner,,Sim!,1,FALSE
Nathalia Faber,,Não tomaria nem como tratamento,3,FALSE
Jaír Bezerra,,"É o mesmo Trump que queria que os americanos tomassem detergente..então , não tomaria",4,FALSE
Renan De Melo Jorge,,"Eu tenho certeza que tem gente que comeria merda, se o trump ou o bolsonaro dissessem pra comer.",16,FALSE
Sueli Torretti,Renan De Melo Jorge,"depois da dancinha da cloroquina, esperem de tudo",2,FALSE
Sueli Torretti,,https://m.facebook.com/story.php?story_fbid=3937748652934515&id=100000982583520,0,FALSE
Joao Francisco,Renan De Melo Jorge,Eu tenho familiares que fez tratamento com cloroquina é nuca fez mal algum então aqui no Brasil todos são médicos e muitos jornalista são cientista por isto tem muitas contradições?,0,FALSE
Ana Ferreira,Joao Francisco,"que bom que não fez mal aos seus familiares, minha irmã usa diariamente para Lúpus e tem vários efeitos colaterais! Sem contar que estudos científicos já provaram que a cloroquina não é tão eficaz assim! E antes de vir julgar, sim, sou Química e sei do que estou falando! Mas vocês não dão razão a ciência, preferem acreditar em tipos como Bolsonaro e Osmar Terra plana!",3,FALSE
Joao Francisco,Ana Ferreira,se você for ver 99% do medicamentos e bom pra algum problema é faz mal para outras ?,0,FALSE
Juliana Zago,Joao Francisco,exato !,0,FALSE
Juliana Zago,Ana Ferreira,"como qualquer remédio , né ? Já que faz tão mal para ela , por que continua tomando ?",0,FALSE
Ana Ferreira,Juliana Zago,", porque para Lúpus ele tem 94% eficiência, mas para covid19 a eficiência dele é de 20%",0,FALSE
Juliana Zago,Ana Ferreira,e vc prefere ter 20% de chances ou nenhuma ? Conheço um mte de gente que toma e nunca tiveram efeito colateral algum,1,FALSE
Ana Ferreira,Juliana Zago,"A imagem pode conter: 1 pessoa, texto que diz ""William De Lucca @delucca Vocês conhecem algum outro país além do Brasil que tem torcida organizada de remédio? 12:53 17 mai 20 Twitter Web App""",2,FALSE
Joao Francisco,Juliana Zago,pois é?,0,FALSE
Renan De Melo Jorge,,É Impressionante,0,FALSE
Ana Ferreira,,. Só no Brasil mesmo nego quer discutir com quem estudou a vida inteira. Ai morre intoxicado e não sabe o porque. O problema não é nem quem quer ir na farmacia comprar toneladas disso porque o presidente investiu milhões nisso. Problema mesmo é essa gente influenciando quem realmente esta desesperado e não sabe o que fazer e faz que nem teve nego nos EUA. Injeta detergente.,2,FALSE
Renan De Melo Jorge,,"Faz o seguinte, toma vocês cloroquina. enche o cu de cloroquina. Deixa os demais serem recomendado pelos devidos medicos, OK?",1,FALSE
Juliana Zago,Joao Francisco,gente chata,0,FALSE
Elenice Maria,Renan De Melo Jorge,também acho  😒,1,FALSE
Joao Francisco,Elenice Maria,é fácil não é preciso aceitar quem nao quer é só não assinar o protocolo autorizando o tratamento com este medicamento e pronto ?,0,FALSE
Vera Albernaz,Renan De Melo Jorge,"só que fosfato de hidrococloroquina nunca foi merda só contrário, está no Brasil desses a década de50 quando passou a virar malária que também mata. eu tenho uma amiga eu sou de São Paulo né que foi morar no norte entre o Pará e Amazonas por ali né casou-se com garimpeiro e foi para lá só ela fora o marido né pegaram malária mais de cinco vezes isso em um período de 20 anos e só tomavam e só tomam para não pegar mais hidroxicloroquina fosfato de hidroxicloroquina.Entendeivesperto!?",0,FALSE
Renan De Melo Jorge,Vera Albernaz,Onde foi que eu disse que a Hidroxicloroquina é merda? Leia de novo.,0,FALSE
Renan De Melo Jorge,,Teve gente que usou detergente só pq o trump disse.,1,FALSE
Renan De Melo Jorge,,Quem tem que dizer o que deve ser bom para a saude dos pacientes é a medicina.,2,FALSE
Juliana Zago,Renan De Melo Jorge,tantos médicos receitando .. então,0,FALSE
Renan De Melo Jorge,Juliana Zago,"tu ja foi no medico, minha filha? Ao que parece nunca. Cada paciente deve ser tratado com remedio baseado na necessidade de cada doença e na biologia de cada um. Por favor poupe meu tempo.",1,FALSE
Renan De Melo Jorge,,"SEEE apenas SEEEE o medico que tiver tratando o paciencte achar necessario o uso da cloroquina, ele fará isso. Ele estudou mais de 5 anos para isso.",0,FALSE
Renan De Melo Jorge,,É o medico quem decide não a anta do presidente.,0,FALSE
Juliana Zago,,"Primeiro não sou sua filha . Acho que vc deveria ser mais educado . Faltou puxão de orelha da sua mãe  😜 já fui em médicos sim , inclusive os renomados que tomaram este medicamento .",0,FALSE
Victor Hugo Cabral Grecco,,"Eu assinaria qualquer termo na qual não fizesse o uso da hidroxocloroquina em mim, até que se prove que ela realmente acelera a recuperação e não me causa nenhum tipo de sequelas.",3,FALSE
Juliana Zago,Victor Hugo Cabral Grecco,jura ? Prefere morrer que tentar um remédio que não precisava de receita e que existe há anos ?,0,FALSE
Victor Hugo Cabral Grecco,,"Se eu for tomar eu vou morrer. Onde trabalho, o uso da hidroxocloroquina está começando a diminuir MUITO por conta dos efeitos colaterais. Muitos estão tendo diversas paradas cardíacas...",0,FALSE
Fernando Airan,,A vantagem é que os idiotas vão morrendo por causa deles. Seleção natural,4,FALSE
