Usuário,Reply,Conteúdo,Reações,Editado
Djeimes Bernardo Oliveira,,Depois da.pressao popular mudou o discurso..,4,FALSE
Agatha Christie,,"Não conhecemos os riscos mesmo... Esse remédio está dando certo agora? Ótimo, e depois? Alguma sequela? É compatível a qualquer humano? Enfim... Errado ele não está...",3,FALSE
Cassiano Santiago,Agatha Christie,"pode causar cegueira ou outras coisas , muito arriscado.",1,FALSE
Agatha Christie,Cassiano Santiago,"eu não tinha essa informação... Eu tô até fazendo errado, comentando sem pesquisar. Valeu pela informação",1,FALSE
Rafaella Lima,Agatha Christie,estão falando q ele mata o mesmo tanto q o corona.. ou talvez seja mais um deixa de curar,1,FALSE
Diana Bernardo,Agatha Christie,"ele causa problemas no coração também. Na verdade o Mandetta disse na coletiva que o uso pode ser feito em qualquer estágio da doença, mas não há comprovação científica da sua eficácia, os primeiros resultados das pesquisas que estão sendo feitas com 5.000 pacientes irão começar a sair a partir do dia 20. No entanto, as doses aplicadas podem causar sequelas graves porque como não há estudos sobre, não tem como saber a dose que é necessária e se é eficaz.",2,FALSE
Agatha Christie,Diana,eu juro que não parei pra ler sobre. Valeu todo mundo pelas informações,1,FALSE
Luigi Raponi,,Esse comprimido é mais barato que o Dorflex.,2,FALSE
Agatha Christie,Yoli Vianna,mas vc entende que existem mil diferenças pra uma pessoa que toma regularmente e outra que não?,1,FALSE
Eloide Jacson,Yoli Vianna,"A imagem pode conter: texto que diz ""21:35 4 Selecionar Tópicos Bula Quais cuidados devo ter ao usar o Difosfato de Cloroquina? Advertências A cloroquina é um fármaco que apresenta estreita margem de segurança uma dose única mg/Kg pode ser fatal. Os pacientes que recebem tratamento com cloroquina em altas doses em longo prazo, devem ser submetidos às avaliações oftalmológicas e neurológicas cada 3 6 meses. A dose pode ser ajustada insuficiência renal. Não utilize o difosfato de cloroquina se tiver conhecimento de II""",0,FALSE
Yoli Vianna,Agatha Christie,", claro que entendo. E se se uma pessoa frágil pelo lúpus (conheço várias) aguentam por que não pessoas que não portam doença autoimune? Sou totalmente contra a automedicação, mas se o médico sabe o protocolo da quantidade certa, por que não arriscar? Melhor arriscar do que bater com as dez.",1,FALSE
Adriana Salgado,,"Todas as bulas se vc ler ninguem toma remedio da ate medo ,então eu prefiro tomar ja no começo do que morrer",0,TRUE
Amanda Ramos Turci,Yoli Vianna,"tbm conheço pessoas q fazem uso, mais totalmente obrigados pelo lupus, porém faz mal sim, minha sogra mesmo teve efeitos colaterais q mudou completamente ela, até a cor da pele, toma obrigada pq o risco de vida dela é MT grande, porém não acho q deviam da esse medicamento se pode existir outras saídas, continuo achando justo darem esse medicamentos realmente somente quando não tem saída, igual é para lupus.",1,FALSE
Dani Nunes Bernardo,,Ele serve para doença autoimune.. isso não é que aguentamos isso é a única coisa que as vezes faz suportar dias de dores.. infelizmente vivemos com efeitos colaterais terríveis.. se podemos evitar pq não antes de usar algo assim,0,FALSE
Diana Bernardo,Yoli Vianna,qual é a quantidade certa para tratamento contra o coronavírus? Não vi ainda nenhum estudo a respeito e estou curiosa. Você está falando de lúpus sendo que um paciente com lúpus faz inúmeros exames e acompanhamento médico pra determinar a dosagem da medicação. Não é porque existe uma dosagem para lúpus significa que a mesma deve ser aplicada no coronavírus.,0,FALSE
Agatha Christie,Yoli Vianna,nem vc sabe então... Uau... Não sou a única desinformada aqui,0,FALSE
Yoli Vianna,Agatha Christie,", eu não sou médica . Mas o fato de leigos como nós não saibamos não quer dizer que os médicos não saibam . Por acaso você sabe fazer cirurgia neurológica? Não, né? Nem eu. Nem por isso vou desacreditar na competência de novos métodos para esse tipo de procedimento.",0,FALSE
