content,stance
Os casos eram graves ? Estavam com respiradores?,Neutro
Ac,Neutro
Somente casos graves estão usando cloroquina,Positivo
Up,Neutro
Glória à Deus!,Positivo
Ac,Neutro
Gloria a Deus ❤️,Positivo
Deus e maravilho,Positivo
Amém,Positivo
Amém!!!,Positivo
Que continue dando certo a todos,Positivo
Tomara,Positivo
Isso não é nem perto de ser a solução,Negativo
Para de pensar negativo. Por isso que o brasil nao vai pra frente,Positivo
Amém 🙏,Positivo
Deve ser Feike! 1,Negativo
"Não é. 75 anos, estava em estado grave e já tinha até se despedido da família. https://www.uol.com.br/vivabem/noticias/redacao/2020/03/22/mae-de-donos-da-prevent-senior-e-tratada-com-cloroquina-temos-esperanca.htm  Mãe de donos da Prevent Senior é tratada com cloroquina: ""Temos esperança"" UOL.COM.BR",Positivo
difícilmente ele irá postar algo fake.,Positivo
Para de pensar negativo. Por isso que o brasil nao vai pra frente 1,Positivo
Isso para quem consegue comprovar que tem o vírus.,Neutro
🙏🏼 🙏🏼 🙏🏼,Positivo
Lembrando que não é só o uso de cloroquina,Positivo
É em conjunto com a Azitromicina.,Positivo
"e um coquetel junto com. Oxacilina, rinfanpricina",Positivo
só tem uma coisa se eu ficar nessa situação morrendo sem ar tomem essa atitude comigo mesmo com todos os efeitos colaterais que tiver!,Positivo
Se formos ler bula não nos tratamos para nada tudo tem ou pode ter efeito colateral,Positivo
Amém 🙏,Positivo
Amém Deus todo poderoso que está no meio de nós ❤️ 🙏,Positivo
Glória Deus,Positivo
Onde vc viu isso pra Amim compartilhar? Q seja verdade e q acabe logo com isso!! Deus nos abençoe,Positivo
Datena,Positivo
🙏 🙏 🙏 🙏 graças a deus tomara que continue assim,Positivo
Para de passar informação errada galera.,Negativo
"A cloroquina precisa ser associada com todo um protocolo de tratamento. Aí vem os imbecil que nem doente está e sai comprando, deixando quem depende do medicamento sem.",Positivo
falaram que agora somente pode comprar com permissão de um médico,Neutro
Ta certo,Positivo
tomara que as drogarias sigam as instruções!,Positivo
mas por enquanto é só para quem está muito ruim para casos leves ou prevenção não precisa!,Positivo
O problema é que o pessoal não entende isso! Já saiu inclusive várias reportagens sobre o fato da galera estar comprando sem necessidades.,Positivo
🙏,Positivo
Tomara q seja verdade.,Positivo
Amem,Positivo
Não adianta nada ele hospedeiro intermediário sintomas acabam mas ele passa a doença,Neutro
acho que não hein Quando a pessoa fica em alta e porque ja foi curada Esta sem o virus no corpo,Negativo
vírus sofre mutação se ela esta imune ela pessoa mas perigosa porque ela não vai ter mas sintomas só passa a doença.,Neutro
acredito que não Não ouvi ninguém falar isso Quando o infectado e curado pode sim pegar novamente se não se prevenir Mas o virus desaparece No mundo todo já são mais de 100 mil curados,Negativo
Povo querido cuidado com estas informações. Nao tome medicamentos sem prescricao médica.,Negativo
Datena e batti,Positivo
Tá passando tv,Positivo
meus amores sou enfermeira com pós em emergência e UTI. Não faça isso. Ainda não temos comprovações que realmente ele é eficaz contra o vírus. Estamos lutando diariamente contra s morte. Estamos preocupados com todos. Estamos lutando o tempo todo . Nos ajudem. Beijos,Negativo
Graças à Deus 🙏🏻,Positivo
"Gente isso é verdade,Glória Deus.",Positivo
"Amém mas não devemos acabar com os estoques, devemos deixar para quem realmente vai precisar",Positivo
Poxa uma notícia maravilhosa dessas e o que tem de comentários negativos por aqui.. parece que só gostam de notícias ruins .. Que muitas outras pessoas tenham altas ... ❤️,Positivo
Tomare não seja mentira aqui na Net tá saindo muitas notícias falsas Se for vdd que Deus nos ajude,Positivo
Amém no Amapá tb estão usando,Positivo
"Se for verdade mesmo, que Deus nos ajude !",Positivo
é verdade simmm,Positivo
Glória a Deus !,Positivo
Isso é sério! Poxa não vamos passar notícias falsas não por favor esse momento de medo e dor..,Negativo
glória a Deus começaram a aparecer boas notícias que assim continue 👏🏻 👏🏻 🙏🏼 🙏🏼 🙏🏼,Positivo
Isso sim é uma boa notícia 👏 👏 👏 👏,Positivo
Será verdade espero q sim m n vi nada vinda do governo...se for mesmo saberemos logo,Positivo
ISSO É QUE NEM ESTAMOS NO PICO E JÁ TEM GENTE DESESPERADO,Neutro
Graças a Deus 💞,Positivo
https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR,Positivo
"eu tava lendo a bula mas não entendi muito bem, os efeitos colaterais desse remédio me corrijam e me desculpem se eu estiver errada mas os efeitos colaterais não pareceu tão graves, E se não for porque não ultilizar em quem estiver prescisando?",Neutro
estão usando como protocolo em pacientes graves... Junto com outros medicamentos..,Positivo
hum entendi obrigada,Neutro
Pode passar a fonte?,Neutro
https://istoe.com.br/quatro-pacientes-de-uti-com-coronavirus-tem-alta-apos-uso-de-hidroxicloroquina/  Quatro pacientes de UTI com coronavírus têm alta após uso de hidroxicloroquina - ISTOÉ Independente ISTOE.COM.BR,Positivo
obrigado!,Neutro
Vai dar certo fe em Deus. Esse remédio só está sendo usado em pacientes que estão na uti com acompanhamento médico e autorização da familia. Ainda está em análise. Nas farmácias so vende por intermédio de receitas. Então quem tá com suspeita não vá atr… Ver mais,Positivo
"eles usaram fosfato de cloroquina, utilizado para limpeza de aquário e não o hidroxicloroquina.",Neutro
na reportagem está hidróxicloroquina,Positivo
"Então essa que você viu foi muito tendenciosa agindo de má fé, porque não foi hidroxicloroquina",Neutro
https://istoe.com.br/quatro-pacientes-de-uti-com-coronavirus-tem-alta-apos-uso-de-hidroxicloroquina/  Quatro pacientes de UTI com coronavírus têm alta após uso de hidroxicloroquina - ISTOÉ Independente ISTOE.COM.BR,Positivo
"estou falando do casal que você citou, que tomou medicamento e o homem veio a falecer...",Neutro
entendi desculpe o casal foi cloraquina mesmo,Positivo
Fonte ?,Neutro
"vai procurar, preguiça de gente preguiçosa.",Neutro
", tem gente torcendo contra, aff...pior que o próprio vírus ...",Positivo
https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR,Positivo
"blza, achei",Neutro
Que maravilha! Será que existe alguém com mais de 60 anos nesse grupo que se recuperou?,Positivo
dizeram que tem um senhor de 75 anos que estava em estado grave e se despediu de sua familia acreditando que iria falecer Mas graças a Deus passa bem,Positivo
Datena mostrando o cientista!,Positivo
"É verdade sim ,tá passando na Record agora,tô assistindo",Positivo
"Caraca, não tem nem 24 horas que o ministério da saúde definiu o protocolo de uso da cloroquina e liberou o uso em pacientes graves e já tem gente curada? O remédio é bom demais.",Neutro
"estava em off-label, já estava sendo usado a mais de uma semana...",Neutro
"Aí sim, então pode ser verdade a notícia, que bom. Rezar para não ter recaida. Obrigado pela informação.",Positivo
"kkkkkkkkkkkk Mas que foi engraçada a sua postagem, isso foi !!!",Neutro
"Eu tento não fazer isso mas as vezes escapa, é tanta notícia desencontrada que desanima",Neutro
Pior que quando eu li pensei exatamente a mesma coisa... Ai vi seu post e era o que eu ia postar kkkkk,Neutro
E vrd está passando no jornal !,Positivo
Graças a Deus,Positivo
"4Altas e 1 morte e outra em estado grave devido a essa medicação, pesquisem direito .",Negativo
O que morreu é a que está em estado grave tomou por conta própria não teve orientação médica!,Positivo
"no q vi , cada organismo tem uma reação, e por ser divulgado mtos já estao indo atrás da medicação pois a demora e a falta de exame faz com q isso aconteça, ! Mtos se auto medicam sem nem ir ao hospital, e agra mtos vão e são orientad… Ver mais",Positivo
"concordo ! Bom que agora não são todos que terão acesso , somente com receitas médicas.",Positivo
E daí . O povo eim Graças a Deus pelos 4e antes que todos morriam !,Positivo
a postagem é sobre os que tiveram alta . Leia direito,Positivo
"eu li , e tbm respondi oq tbm li ! Apenas repassei oq vi , a respeito se puder ler meu texto e interpretar VC vai ver.",Neutro
Glórias a DEUS 🙏🏻❤,Positivo
"Está passando no R7 mas é incrível como tem gente negativa, aff!",Positivo
Vamos torcer para que não tenha nenhum efeito após o uso.,Positivo
Eu na minha casa 🏠 Vc na sua casa 🏡 E Deus na casa de todos nós 🙏 🙏 🙏,Neutro
"Vão esperar passar na globolixo?que nada,a única coisa que vão ouvir vai ser: Bolsonaro,Bolsonaro,Bolsonaro,Bolsonaro,Bolsonaro,Bolsonaro,",Positivo
", vd",Neutro
"ou então panelaço , panelaço",Positivo
",panelaço gravado num pendriver",Positivo
esse panelaço e do tempo da Dilma ainda.... #globo lixo .,Positivo
Estamos em vantagem ALQUEM tem q ser cobaia 0:00 / 0:02,Neutro
Noticia boa,Positivo
Mas não e para todos hello,Positivo
"Senra explicou que os resultados não fazem parte da coalizão covid-19, feita pelo Hospital Israelita Albert Einstein, HCor, Sírio Libanês e BRICNet, uma rede que realiza estudos clínicos na área de medicina intensiva. O especialista ainda fez questão de ressaltar que não há comprovação de causa e efeito do uso da hidroxicloroquina. Ou seja, não é possível garantir que os pacientes foram curados graças ao medicamento.... - Veja mais em https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm?cmpid=copiaecola<br> Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR",Negativo
🙏 🙏 🙏 🙏 🙏,Positivo
Graças a Deus,Positivo
Teve mais mas não falam,Positivo
Meu Deus..sera verdade???.no meio desse caos..a gente nao sabe mais no que acreditar.,Neutro
", está passando no R7",Positivo
.....vou ver querida...obrigada,Neutro
Fontes?!,Neutro
"vai procurar, preguiça de gente preguiçosa. ²",Positivo
O Dono da postagem é a fonte . 👍 Ele sempre da notícias verdadeiras aqui,Positivo
kkkkk Hoje a música perdeu 2 pessoas para o Coronavirus. Muito triste.,Neutro
", ah, nossa! Se a pessoa faz uma postagem dessa, o certo é citar a fonte, né, não?! Não é questão de preguiça, é questão de lógica...",Neutro
"Licença gente, foi noticiado agora pouco, nos jornais da rede Bandeirantes, e Record. Na rede Record hj a noite passará uma reportagem exclusiva sobre o assunto. A informação é verídica 👍",Positivo
", obrigada!",Neutro
M ♥️ ♥️ ♥️,Neutro
"A mãe do meu compadre está na UTI e começou a usar esse medicamento ontem, hoje ela já teve melhora 🙏 🙏",Positivo
"poste quando ela tiver alta, vamos nos animar e que Deus restaure a saúde e abençoe todos os doentes e acabe com a força desse vírus. Amém",Positivo
postarei qndo ela tiver alta 🙏,Positivo
"isso, porque ai temos mas uma esperança.",Positivo
Graças a Deus 🙏,Positivo
", é uma boa ideia !!",Positivo
Graça à Deus Amém senhor 🙏 🙏 🙏,Positivo
No balanço geral de São Paulo está passando agora,Positivo
"Olha ,sei que devemos ter cautela ,porém gente ,que benção está sendo ,pessoas curadas,pessoas que estão vencendo esse vírus! Que isso possa acontecer com todos os que pegarem o vírus ,vamos nos unir em oração ,para que tudo isso passe logo ,e as pesso… Ver mais",Positivo
Gente se liga nas notícias viu? Este perfil é Fake! O Facebook está lotado de perfis FAKE espalhando Fakenews! Perfis sem fotos de família e de seus dias a dias e comentários algum! Fiquem eapertos!,Neutro
"esse q postou a notícia se eu não me engano é quem criou essa página , ele sempre atualiza vários números e sempre da certinho",Positivo
"Bom meu caro, a notícia não é fake. Passou nos jornais, da rede Bandeirantes e no cidade alerta agora pouco. Inclusive na Record hj passará uma reportagem especial sobre esse assunto 👍",Positivo
A notícia não é falsa.,Positivo
ta sobrando dinheiro para a indenização ou vai se desculpar?,Neutro
"em quanto isso na minha cidade , o Corona Virus deve estar pulando d felicidade.  A imagem pode conter: texto que diz ""TIM TIM 18:46 Pesquisar no Facebook 10 Amanhã vai ter protesto pedindo a reabertura do comércio em Presidente Prudente Ver mais PROTESTO PEDINDO ABERTURA DO COMÉRCIO EM PRESIDENTE PRUDENTE CONVITE COMERCIANTES, EMPRESÁRIOS. MOTOCICLISTA MOTORISTA TAXISTAS, TODOS TRABALHADORES UTÔNOMOS! \*EVENTO PACIFICO SEM FINS POLÍTICOS! VOLTA PRUDENTE! 27/03 12H AV. CEL. JOSÉ SOARES MARCONDES, PARTIDA EM FRENTE À APEA""",Neutro
"mas nao quer dizer que estao curados,,,,,",Neutro
Dizem que o virus some do corpo do ex infectado Mas corre risco de pegar de novo se não se prevenir São mais de 100 mil curados no mundo todo,Neutro
Não existe comprovação da eficácia pela OMS,Negativo
exite sim só que oque acontece é qure fora do Brasil os médicos não são habilitados com o medicamento não sabendo a dosagem pois é pouco usado como no Brasil tem mais o uso foi liberado,Positivo
OMS é quem regula tudo! OMS ja testou tudo q o Brasil usa e ainda vai usar.,Negativo
. Já testou sim se não fosse testa nem o ministério da saúde e nem a anvisa libera. Só liberaram no Brasil porque os médicos conhecem o medicamento é a dosagem.,Positivo
Atenção Usuário Facebook Gente se liga nas notícias viu? Este perfil é Fake! o Facebook está lotado de perfis FAKE espalhando Fakenews e afumentando o ódio entre pessoas! Perfis sem fotos de família e de seus dia-a-dia nenhum comentário! Fiquem espertos!,Neutro
"Estava a 15 minutos, escutando o ministro da saúde é não falou nisso",Negativo
Lembrando que essa medicação é perigosa e só pode ser usada no hospital e administrada pela equipe médica no caso de corona. Nada de se automedicar gente,Neutro
Atenção Usuário Facebook Gente se liga nas notícias viu? Este perfil é Fake! o Facebook está lotado de perfis FAKE espalhando Fakenews e afumentando o ódio entre pessoas! Perfis sem fotos de família e de seus dia-a-dia e nenhum comentário! Fiquem espertos!,Neutro
"a notícia não é falsa, passou nos jornais.",Positivo
ALERTA PARA o MUNDO Economista do FMI que pedia fim da quarentena para salvar economia morre de coronavírus em Washington Rogério Correia,Neutro
"DISTRITO FEDERAL Segurança de Bolsonaro está em estado grave com coronavírus ""Ele sempre viaja com o presidente. Eu acredito que esse vírus ele adquiriu nessas viagens' disse mãe do PM ao Metrópoles REPRODUÇÃO",Neutro
Acabei de ficar sabendo q morreu foi gente tomando esse medicamento,Negativo
sem orientações de um médico,Neutro
"Esse medicamento tem efeitos colaterais sérios, causa até cegueira",Negativo
https://www.covidvisualizer.com/?fbclid=IwAR2sRoHpl8GeEqr8A9ZyZ17hPGMmS4HH1q87fFFicm_eK0v9sRS5LGQSN68  COVID-19 Visualizer COVIDVISUALIZER.COM ,Neutro
"Nego enche o cu de cocaína, mas o que mata é minha cloroquina...",Positivo
Tu sem lúpus?,Positivo
Tu tem corona?,Positivo
"Salvar um desconhecido de lupus com uma caixa, salvar 6 famíliares de corona com uma caixa, eis a questão.",Positivo
"Não se automedique moça. Não sabe a posologia, não sabe os efeitos adversos, simplesmente você não sabe.",Neutro
eu vi,Positivo
Qual fonte?,Neutro
passou na TV Band,Positivo
ok,Neutro
Passou nos jornais ,Positivo
Vamos torcer e rezar para que esta pandemia acabe logo! Temos que ter FÉ !!,Positivo
🙏 🙏 🙏 🙏 👏 👏 👏 👏,Positivo
https://www.bbc.com/portuguese/brasil-52044400  Coronavírus: testes com cloroquina causam corrida a hospitais e dividem médicos na França BBC.COM Coronavírus: testes com cloroquina causam corrida a hospitais e dividem médicos na França Coronavírus: testes com cloroquina causam corrida a hospitais e dividem médicos na França,Neutro
"Sabem como e Brasil ne, se consegue comprar remédios proibidos sabe se lá origem ... ficar espalhando essas notícias ajuda em nada.",Negativo
É FAKE É FAKE É FAKE É FAKE É FAKE É FAKE,Negativo
RECEBEM PACIENTES TRATADOS COM CLOROQUINA ALTA DA UTI EM SÃO PAULO,Positivo
Não é fake. Passou nos jornais,Positivo
acusar sem provas é crime e pode gerar uma indenização por danos morais. Cuidado com as palavras em público.,Neutro
propagar fake news é crime!,Negativo
deixa eles tomarem. Vai ser bom p o Brasil 🤣 👍🏻,Negativo
TOMEM DESGRAÇA TOMEM!!! 😅 😅 😅,Negativo
Gente. NAO TOMA ESSE REMÉDIO. ele é para ser usado no hospital através do soro. Tem um casal que morreu hoje por usar esse remédio em casa. Não sejam burros. Remédio só se tiver doente.… Ver mais,Neutro
"não foi hj e não foi cloroquina... Mas sim fosfato de cloroquina... É bem diferente...  A imagem pode conter: texto que diz ""TEXAS Homem morre após ingerir cloroquina, medicamento testado contra a Covid-19 Paciente tomou fosfato de cloroquina junto sua esposa, ainda está internada, hospital orte-americano orientou sobre os perigos da automedicação Por DA REDAÇÃO Ter, 24/03/20 08h38 520 09:50 Bernardo P Küster A mídia faz pânico hoje pois um casal morreu tomando cloroquina, potencial cura para vírus chinês. o eles contam APENAS FIM da reportagem é que casal tomou fosfato de cloroquina, usado para limpar aquários, e como prevenção. Pap!!! Como respeitar mídia, meu Deus! ganância. Fosfato de cloroquina medicamento, a cloroquina, sim. 444""",Positivo
E óbvio... Não é para tomar sem receita ..,Positivo
Mas fake news é demais..,Positivo
passou na TV  ,Positivo
fake news da Luciana aí em cima... Dizendo que o caso da morte foi hj e foi a cloroquina que matou... Mas foi fosfato de cloroquina .. que é outra coisa ..,Positivo
aaah eu pensei que era sobre os pacientes. Rs,Neutro
👏 👏 👏 👏,Neutro
Não interessa o remédio que tomou. COMO UMA PESSOA PODE TOMAR UM REMÉDIO SEM.ESTAR DOENTE????????????,Neutro
Se não morrer do vírus morre por ser hipocondríaco.,Neutro
mas não tomaram remédio... Fosfato de cloroquina é para limpar aquário kkkk,Neutro
😂 😂 😂 😂 😂 😂 😂 😂 misericórdia senhor 😂 😂 😂 😂,Neutro
pois é ... Tem louco para tudo kkkk,Neutro
Kkkk,Neutro
"tenho quse a certeza que è fake new mas vou investigar,",Neutro
"não é fake não, passou na TV",Positivo
"ok,",Neutro
",torcendo que de certo 🙏",Positivo
"Passou nos jornais, não é falsa a notícia. ",Positivo
"A imagem pode conter: texto que diz ""19:34 1,2KB/s Hidroxicloroquina: qu... .com. 口 Gabriela Ingrid VivaBem, em São Paulo 26/03/2020 15h01 Pelo menos quatro que estavam na UTI em estado grave no Hospital Igesp, em Sao Paulo, receberam alta após sete dias de USo de hidroxicloroquina em associação com outras medicações. De acordo com Dante Senra, médico cardiologista coordenador das UTI's do hospital, foram ""avaliados criteriosamente os protocolos internacionais"" 12 altas hospitalares de pacientes confirmados com coronavírus altamente suspeitos também foram dadas. Instalar MELHORES HORES JOGAM x""",Positivo
FAKE,Negativo
o senhor está me acusando de difundir notícias falsas em uma postagem pública? O senhor sabe que me está causando um dano moral? É que é crime acusar alguém sem provas? Caso o senhor não se retrate publicamente terei que tomar as medidas cabíveis. Obrigado.,Positivo
"Mete processo nesse cara., já printei se precisar.",Neutro
me manda a fonte 🙏 🙏 🙏 que Deus nos ajude ❤ ❤ ❤ vamos vencer 💪 💪 💪,Positivo
ministério da saúde.,Positivo
obg querido viu ver agoraaaaaa isso é mta emoção,Positivo
Não é fake.… Ver mais  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina,Positivo
Os próprios médicos deram entrevista confirmando.,Positivo
E quem ja teve o virus corona!!pode pegar de novo sera???,Neutro
sim! Esse é uma mutação. Ninguém tem anticorpos pra ele,Neutro
Imagina pegar 2 ou 3 vezes Deus me livre,Neutro
