https://www.dw.com/pt-br/trump-diz-que-est%C3%A1-tomando-hidroxicloroquina/a-53490069?maca=pt-BR-Facebook-sharing Trump diz que está tomando hidroxicloroquina | DW | 18.05.2020 DW.COM Trump diz que está tomando hidroxicloroquina | DW | 18.05.2020 Trump diz que está tomando hidroxicloroquina | DW | 18.05.2020,Positivo
"https://www.correiobraziliense.com.br/app/noticia/mundo/2020/05/18/interna_mundo,856128/trump-revela-que-esta-tomando-hidroxicloroquina-preventivamente.shtml Trump revela que está tomando hidroxicloroquina ''preventivamente'' CORREIOBRAZILIENSE.COM.BR Trump revela que está tomando hidroxicloroquina ''preventivamente'' Trump revela que está tomando hidroxicloroquina ''preventivamente''",Positivo
https://www1.folha.uol.com.br/mundo/2020/05/trump-diz-que-toma-hidroxicloroquina-como-prevencao-ao-coronavirus.shtml Trump diz tomar hidroxicloroquina para evitar coronavírus mesmo sem eficácia comprovada WWW1.FOLHA.UOL.COM.BR Trump diz tomar hidroxicloroquina para evitar coronavírus mesmo sem eficácia comprovada Trump diz tomar hidroxicloroquina para evitar coronavírus mesmo sem eficácia comprovada,Positivo
Sim!,Positivo
Não tomaria nem como tratamento,Negativo
"É o mesmo Trump que queria que os americanos tomassem detergente..então , não tomaria",Negativo
"Eu tenho certeza que tem gente que comeria merda, se o trump ou o bolsonaro dissessem pra comer.",Negativo
"depois da dancinha da cloroquina, esperem de tudo",Negativo
https://m.facebook.com/story.php?story_fbid=3937748652934515&id=100000982583520,Negativo
Eu tenho familiares que fez tratamento com cloroquina é nuca fez mal algum então aqui no Brasil todos são médicos e muitos jornalista são cientista por isto tem muitas contradições?,Positivo
"que bom que não fez mal aos seus familiares, minha irmã usa diariamente para Lúpus e tem vários efeitos colaterais! Sem contar que estudos científicos já provaram que a cloroquina não é tão eficaz assim! E antes de vir julgar, sim, sou Química e sei do que estou falando! Mas vocês não dão razão a ciência, preferem acreditar em tipos como Bolsonaro e Osmar Terra plana!",Negativo
se você for ver 99% do medicamentos e bom pra algum problema é faz mal para outras ?,Positivo
exato !,Positivo
"como qualquer remédio , né ? Já que faz tão mal para ela , por que continua tomando ?",Positivo
", porque para Lúpus ele tem 94% eficiência, mas para covid19 a eficiência dele é de 20%",Negativo
e vc prefere ter 20% de chances ou nenhuma ? Conheço um mte de gente que toma e nunca tiveram efeito colateral algum,Positivo
"A imagem pode conter: 1 pessoa, texto que diz ""William De Lucca @delucca Vocês conhecem algum outro país além do Brasil que tem torcida organizada de remédio? 12:53 17 mai 20 Twitter Web App""",Negativo
pois é?,Positivo
É Impressionante,Neutro
. Só no Brasil mesmo nego quer discutir com quem estudou a vida inteira. Ai morre intoxicado e não sabe o porque. O problema não é nem quem quer ir na farmacia comprar toneladas disso porque o presidente investiu milhões nisso. Problema mesmo é essa gente influenciando quem realmente esta desesperado e não sabe o que fazer e faz que nem teve nego nos EUA. Injeta detergente.,Negativo
"Faz o seguinte, toma vocês cloroquina. enche o cu de cloroquina. Deixa os demais serem recomendado pelos devidos medicos, OK?",Negativo
gente chata,Positivo
também acho  😒,Positivo
é fácil não é preciso aceitar quem nao quer é só não assinar o protocolo autorizando o tratamento com este medicamento e pronto ?,Positivo
"só que fosfato de hidrococloroquina nunca foi merda só contrário, está no Brasil desses a década de50 quando passou a virar malária que também mata. eu tenho uma amiga eu sou de São Paulo né que foi morar no norte entre o Pará e Amazonas por ali né casou-se com garimpeiro e foi para lá só ela fora o marido né pegaram malária mais de cinco vezes isso em um período de 20 anos e só tomavam e só tomam para não pegar mais hidroxicloroquina fosfato de hidroxicloroquina.Entendeivesperto!?",Positivo
Onde foi que eu disse que a Hidroxicloroquina é merda? Leia de novo.,Negativo
Teve gente que usou detergente só pq o trump disse.,Negativo
Quem tem que dizer o que deve ser bom para a saude dos pacientes é a medicina.,Negativo
tantos médicos receitando .. então,Positivo
"tu ja foi no medico, minha filha? Ao que parece nunca. Cada paciente deve ser tratado com remedio baseado na necessidade de cada doença e na biologia de cada um. Por favor poupe meu tempo.",Negativo
"SEEE apenas SEEEE o medico que tiver tratando o paciencte achar necessario o uso da cloroquina, ele fará isso. Ele estudou mais de 5 anos para isso.",Negativo
É o medico quem decide não a anta do presidente.,Negativo
"Primeiro não sou sua filha . Acho que vc deveria ser mais educado . Faltou puxão de orelha da sua mãe  😜 já fui em médicos sim , inclusive os renomados que tomaram este medicamento .",Positivo
"Eu assinaria qualquer termo na qual não fizesse o uso da hidroxocloroquina em mim, até que se prove que ela realmente acelera a recuperação e não me causa nenhum tipo de sequelas.",Negativo
jura ? Prefere morrer que tentar um remédio que não precisava de receita e que existe há anos ?,Positivo
"Se eu for tomar eu vou morrer. Onde trabalho, o uso da hidroxocloroquina está começando a diminuir MUITO por conta dos efeitos colaterais. Muitos estão tendo diversas paradas cardíacas...",Negativo
A vantagem é que os idiotas vão morrendo por causa deles. Seleção natural,Negativo
"Se eu fosse ele enfiava a cloroquina no cu, chatice dos infernos, só pq ele tem participação dos lucros",Negativo
"Por isso o jumento do nosso presidente quer que todos tomem , tudo pelo Love you do Bolsonaro",Negativo
né  🤣  🤣  🤣  🤣,Negativo
