Tô vendo que a torcida do vírus tá bem maior.  🙄,Positivo
ta empatando com a torcida pro mito rs,Negativo
Eu hein  🙄 só sei que eu venci o virus.,Positivo
nao sei tem horas que parece que o povo torce pro mito não pro Brasil,Negativo
quem é mito?  🤔,Neutro
Bolsonaro o mito,Neutro
Lkkkkkkk,Neutro
"ah tá o nosso Presidente. Entendi, eu torço por ele pq pelo que eu entendi ele está no piloto, não posso torcer pro avião cair só pq não gosto do piloto. Afinal de conta eu tô dentro. Eu moro NO Brasil.  🙏 E eu torço e oro muito pela mi…Ver mais",Positivo
Boa noite  🙏  😘,Neutro
"mania de acharem que pandemia é futebol com torcida, mesmo blabla por isso que usei a palavra mito, serve de gatilho pros minions saírem do buraco usando a mesma metáfora do aviao, piloto, torcida e aquele blabla de manual da época do pt, mas agora dos bolsonaristas boa noite  🥰",Negativo
adorei seu bafo de mortadela.  🤣  🤣,Positivo
"tsc tsc manualzinho de gado detected, ja que vai fala do LulaLadrao, comunismo chinês ou terraplana kkkkk",Negativo
aí amadohhh  😘  🤣  🤣,Positivo
"pois é, tambem to confuso agora.",Neutro
https://m.youtube.com/watch?v=zer6omW0vnU COVID-19: More Great News YOUTUBE.COM COVID-19: More Great News COVID-19: More Great News,Neutro
"Está aí, a prova que funciona, agora os jumentos vão relinchar ou comer grama?",Positivo
"Mas os chineses usaram corticóide,não teve resultado favorável. Muito estranho está reportagem,?????",Neutro
A Globo chamou a atenção do Dr. Kaliu por conta do contrato que ele tem com o programa bem estar.,Negativo
Eles não poder dar apoio a cloroquina.,Negativo
"TRIBUNA beneficios corporais da ingestão (moderada) de alho a redução do colesterol, elevação das HDLP (LipoProteinas de Alta Densidade, portadoras colesterol bom""), redução da pressão arterial e alguma bioatividade inibitória sobre patogênicas tal qual antibióticos. Um estudo de 1992 do Instituto Nacional de Câncer Estados Unidos comprovou que ingestão de alho cebola está correlacionada com menor incidência de câncer de estômago. Outros autores reportam o mesmo efeito para pele e para o cólon. É tido como melhor adente antibiótico x STORT""",Neutro
"TRIBUNA É tido como melhor agente antibiótico contra tifo, o mesmo valendo em caso de disenterias enterites. Mesmo no caso de algumas viroses (resfriados gripes) é atribuida ao alho uma atividade preventiva. Dai nome que se lhe aplica russa"" É comprovado que os compostos sulfurados do alho alho elevam bioatividade células sanguíneas da série branca células ""T-helpers"", responsáveis pela defesa imunológica do corpo. Seu uso igualmente se estende ao combate das bronquites (vias áreas superiores) e infecções urinárias Uma interpretação farmacológica da STORT X""",Neutro
