Deus te ajude ele e presidente vê vc o que é,Positivo
"mas ele pode ser as duas coisas, presidente e retardado",Negativo
como vcs são mal por isso que muitos estão assim retardados,Positivo
"Deus me ajuda, mesmo graças á Deus, ele ser presidente não o faz melhor que ninguém, comedor de feijão igual nós, só acho ele Loko.. tenho o direito de achar o que eu quiser..",Negativo
exatamente  👏🏾  👏🏾  👏🏾  👏🏾  🤣  🤣  🤣  🤣,Negativo
não tem o direito não de chamar ninguém de retardado não precisa de Deus de verdade,Positivo
"má é você! E retardada tb, assim como ele. Para uma pessoa que só fala em Deus no perfil vc odeia bastante o seu próximo, hein?",Negativo
olha o perfil dessa endemoniada. Só fala em Deus. Religiosos de fachada são as piores pessoas,Negativo
quem chamou de retardada não fui eu vai buscar Deus de verdade e da paz,Positivo
todos precisam de Deus inclusive ele... Eu achar que ele nao bate bem da cabeça nao tem nada a ver com Deus,Negativo
ela se referiu ao presidente do país DELA. Você nos ofendeu DIRETAMENTE. É tão burra e tão podre de alma que sequer reconhece. Vá se tratar.,Negativo
vai cuidar da sua vida me deixa em paz nem me conhece,Positivo
"um ser como vc, que inicia o dia xingando acha que pode falar em Deus e tem paz? Se inferno existe, vai direto pra lá",Negativo
"e você conhece a quem xinga na internet? Fácil vc se enganar né? Mas vc so engana a si mesma, seu ser medonho",Negativo
vc e bem burro me xinga e diz que sou eu não confiei ninguém RS palhaçada,Positivo
"não sabe nem argumentar, endemoniada",Negativo
"sou burro mesmo em perder tempo com um bicho do inferno como vc, que usa o nome de Deus em vão e defende esse presidente doente",Negativo
sei bem como é .. o fanatismo causa guerra..,Negativo
ela é tão burra que se acha certa e a consciência nem pesa. De gente podre e odiosa assim as igrejas estão cheias,Negativo
vc tbm não conhece ninguém aqui pra dar seu julgamento..,Negativo
"é tão doente que coloca no perfil que é uma ""pequena adoradora de Deus"", não tem vergonha não? Vc não tem medo de agir assim e Deus te lascar um raio na testa por usar o nome dele em vão?",Negativo
"verdade, essas pessoas vivem uma falsa vida de perfeição..",Negativo
"só na cabeça dela, porque pelo perfil essa é uma f...",Negativo
"não compra a briga do Bolsonaro não fia, ele é rico nem sabe que vc existe...",Negativo
não pode nem dar atenção..kkk,Negativo
exatamente. Vai pro inferno por causa de um demente que não tá nem aí se ela explodir,Negativo
vc que vai pro inferno julgando os outros,Positivo
e vc? Vai pra onde? O que está fazendo não é julgamento?,Negativo
"não sei para onde eu vou. Só sei que não será para o mesmo buraco que vc! Ao contrário de vc, eu não uso o nome de Deus em vão para justificar minha podridão. Você deve ser do tipo de evangélico que faz arminha com a mão na igreja.",Negativo
vai cuidar da sua vida me deixa em paz,Positivo
"arregou, né? Aberração ética",Negativo
aberração e vc imundície maligno mal amado arruma o que fazer,Positivo
ahhhhhhhh agora siiiim!!!! Mostrou a que deus adora de verdade né? Prefiro sinceridade do que religiosos de araque,Negativo
", uma santa. E age como tal. Graças a Deus, né ermã. A imagem pode conter: texto",Negativo
vai cuida. E da sua vida maligno que não tem o que fazer quem e vc lixo humano tá repreendido,Positivo
gamou em rs vai ler a palavra e se libertar,Positivo
"não vou ler não. Por vermos tantos crentes fdp como vc é que as igrejas estão em descrédito. Palavras de um amigo pastor que tenho. Gente como vc envergonha a igreja. E gamei si, com essa sua cara de cavalo e esses dentes de jacaroa, impossível não gamar",Negativo
e triste vc se diz tão bom dizer isso maligno mesmo com certeza,Positivo
"Cristina Santos quem se diz boníssima é vc! Olha aqui. Eu não sou ninguém não, a anja do céu aqui é vc. A imagem pode conter: texto",Negativo
"Demônia você? Imagina. Você é a filhinha de Deus. A imagem pode conter: texto que diz ""Michele Prando ο homem retardado... Curtir Responder h Ocultar 39 respostas Cristina Santos Michele Prando Deus te ajude ele e presidente vê o que é Curtir Responder 4h Marcelo Souto Cristina Santos mas ele pode ser as duas coisas, presidente e retardado Curtir Responder 4h Cristina Santos Marcelo Souto como vcs são mal por isso que muitos estão assim retardados Curtir Responder 4h""",Negativo
"Esse palhaço não nasceu, foi cagado!",Negativo
Tá certo .mais dou petista,Neutro
Nem ele é recomendado kkk,Negativo
E quem é recomendado pra você ? Os corruptos que assaltou os cofres públicos durante 16 anos ?,Positivo
", desculpa perguntar, mas tá falando de quais corruptos? Do governo anterior ou do atual? P q tá difícil distinguir...  🤷🏻‍♀️",Neutro
"A turma do mimimi é impressionante. Vcs são uma vergonha para o avanço do Brasil. País devastado por corrupção. Tem um cara que quer trabalhar honestamente, e vcs se pegam se ele usa ou não tal remédio? Pelo amor de Deus. Vamos trabalhar pessoal.",Positivo
"me diz o que ele fez de bom, a união europeia já cancelou todas as compras do Brasil, acabou com a saúde, educação, emprego, e vocês dizem que fez algo de bom, até os grandes empresários já estão chutando esse imbecil que dizem ser o presidente",Negativo
"essas pessoas não acompanham a política, só pode.",Neutro
o pior cego e aquele que não quer ver.,Neutro
“a união Europe cancelou TODAS as comprar do Brakkkkkkkkkkkk” vocês do contra tudo são muito engraçados  🤣  🤣  🤣,Positivo
#Lulalivre,Neutro
mas rapaz. Desliga a globo. Como assim acabou com o tudo? Kkk,Positivo
"será que é só na globo onde mostram as falcatruas, ligações com milícias, rachadinha e tantas outras coisas obscuras, se ligam vocês enquanto é tempo.",Neutro
"A imagem pode conter: 1 pessoa, em pé, atividades ao ar livre e natureza, texto que diz ""DEIXEM o MITO TRABALHAR""",Positivo
"vc só pode estar brincando....!!! Vc deveria dizer isso ao seu presidente...me poupe, e se poupe de passar vergonha!!!",Negativo
fala uma só então. Envolvendo o presidente. Não o filho.,Positivo
eu né?,Negativo
vc votou no Haddad?  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣,Positivo
"Claro! Com muito orgulho! Sensato, inteligente e interessado em melhorar a vida das pessoas. Apesar de não ser da sua conta, tá respondido.",Negativo
então não tem como argumentar. Nosso nível não é o mesmo. Não me incomode.,Positivo
"realmente o nível de um bolsoidita é menor que de um jumento, é perder tempo e lucidez discutir com gente de tamanha ignorância",Negativo
tá certo. Vota 13. E meu nível é de jumento? Parabéns.,Positivo
Mas ele ta certo.. quem recomenda é o Médico... Esse povo não sabe o que quer o melhor Presidente q o Brasil já teve... Eles estão com saudade do PT.. Parece q não pensam por si próprio...,Positivo
"lamentável, para ver como vocês estão mal informado ou mal intencionados pois esse energúmeno foi as redes sociais com caixinhas de remédio dizendo que estava se tratando com a cloroquina e estava muito bem. Chega de hipocrisia e admitam que ele não tem condições de sequer ser síndico de prédio",Negativo
