content,stance
"Você ta vivendo para o PT e trilhões do Lula, tudo porque questiono coisas obvias que você não aguenta ver rs",Negativo
olha vamos pedir a Deus que esse remedio de certo como vem dando bons resultados e que ninguém mais morra um abraço de longe kkl boa noite. a.lula tava na Dinamarca acho onde não tem caso confirmado  💓  🙏,Positivo
Amém,Positivo
To do lado da Alice Reproduzir GIF Tenor,Neutro
não é questão de política a questão é como uma pessoa não consegue acredita em Deus,Positivo
melhor rezar ter fé doq mostrar dobrinhas no biquini Deus te abençoe querida,Positivo
eu não acredito ué,Neutro
paciência,Neutro
Cada um tem seu próprio critério,Neutro
Não cabe a mim dizer oq vc segue ou não,Neutro
"Né. Exatamente. Mas é bom ter atitudes além de oração, reza e etc tbm.",Neutro
cada cabeça sua sentença,Neutro
Boa noite,Neutro
e vc tá fazendo o que pra ajudar? Sabe aquele ditado: Quem não ajuda não atrapalha! Há e sobre depressão Deus ajuda muito! PAZ PRA VC  🙏  🙌,Positivo
Isso ai ela só quer aparecer Eu Creio em Deus Pai todo Poderoso  🙏  ❤,Positivo
sempre Amém,Positivo
"Se puderem ajudar estou entregando cestas a famílias que perderam emprego.  A imagem pode conter: texto que diz ""COVID-19 DOAÇÕES A sua ajuda é necessária nesse momento. A cada 66,02* nós conseguiremos doar uma cesta básica para uma família carente. Faça um depósito comprovante nos envie whatsapp. CESTABÁSICA APM BOTELHO C. ALIMENTOS CNPJ: 21.125.246/0001-60 Banco: Original 212 Agência: 2105255 Cada doação ajuda uma família a resistir ao CORONA VÍRUS. AJUDE! Dúvidas (21) 99615-1865 \*A doação pedida de R$ 66,02 para ajudar Patinhas Responsável peloprojeto: Thaís Lima dentificação do que é doação. AMORIO2""",Neutro
só acredito vendo,Neutro
cada cabeça sua sentença.,Neutro
"A imagem pode conter: 3 pessoas, pessoas em pé, texto que diz ""Essa semana foram 50 cestas entregues às famílias de trabalhadores informais que estão sentindo no estômago o efeito da pandemia de coronavirus. Parece muito, mas a lista de espera é muito maior e ainda não temos doações pra semana que vem. Ajudem, pois quem tem fome tem pressa. Um MUITO OBRIGADA em nome de 50 famílias cariocas. 0 BÁSIC 5 BASICY 心 BASICA COVID- DOAÇOES""",Neutro
